"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Gram stain"
11765,DCB-2,"DSM 10664",1,"Desulfitobacterium hafniense",negative
3963,B54,"DSM 8776",1,"Desulfobacter vibrioformis",negative
4178,P1,"DSM 24233, CGMCC 1.5166",1,"Desulfobaculum xiamenense",negative
130283,APS1,"DSM 24258, UNIQEM U900",1,"Desulfobulbus alkaliphilus",negative
133072,Prop6,"DSM 103420, JCM 31535",1,"Desulfobulbus oligotrophicus",negative
22991,JHA1,"DSM 21856, JCM 16085",1,"Desulfoconvexum algidum",negative
140353,NAW-5,"DSM 102911, NBRC 112242",1,"Desulfocucumis palustris",negative
4171,"SR-1, LS","DSM 23860, JCM 15510, KCTC 5649",1,"Desulfocurvibacter africanus subsp. uniflagellum",negative
23898,,"DSM 26129, JCM 18546, Olac 40",1,"Desulfocurvus thunnarius",negative
4069,VNs36,"DSM 17965, JCM 14038, AS As36, AS 36",1,"Desulfocurvus vexinensis",negative
3984,PSv29,"DSM 12344",1,"Desulfofaba gelida",negative
24301,SR45,"DSM 26801, NBRC 109411",1,"Desulfolucianica intricata",negative
3987,LSv21,"DSM 12345",1,"Desulfofrigus fragile",negative
3988,ASv26,"DSM 12341",1,"Desulfofrigus oceanense",negative
4015,Pro1,"DSM 18378, JCM 14043",1,"Desulfogranum japonicum",negative
4043,"HR100, HR<SUB>100</SUB>","DSM 5692, JCM 16813, ATCC 49708",1,"Desulfohalobium retbaense",negative
3998,,"DSM 19427, JCM 14721, MSL 71",1,"Desulfoluna butyratoxydans",negative
3997,AA1,"DSM 17682, ATCC BAA 1256",1,"Desulfoluna spongiiphila",negative
130281,APT2,"DSM 24257, UNIQEM U853",1,"Desulfonatronobacter acidivorans",negative
133075,ASO3-2,"DSM 100427, UNIQEM U993",1,"Desulfonatronospira sulfatiphila",negative
4034,Z-7935,"DSM 9292",1,"Desulfonatronovibrio hydrogenovorans",negative
4065,Z-7999,"DSM 16749, VKM B-2329",1,"Desulfonatronum cooperativum",negative
158308,PAR180,"DSM 103602, JCM 31598",1,"Desulfonatronum parangueonense",negative
4064,,"DSM 14708, ATCC BAA 395, MLF 1",1,"Desulfonatronum thiodismutans",negative
4031,,"DSM 18488, JCM 14042, MSL 86",1,"Desulfopila aestuarii",negative
4032,JS_SRB250Lac,"DSM 19738, NBRC 103921",1,"Desulfopila inferna",negative
4001,PropA,"DSM 17721, VKM B-2385",1,"Desulfosalsimonas propionicica",negative
140361,PL12,"DSM 103901, JCM 31728",1,"Desulfosarcina alkanivorans",negative
140360,PP31,"DSM 103921, JCM 31729",1,"Desulfosarcina widdelii",negative
16679,USBA-053,"DSM 22027, KCTC 5670, USBA 53",1,"Desulfosoma caldarium",negative
23183,BSREI1,"DSM 24089, JCM 17380",1,"Desulfosporosinus burensis",negative
11780,343,"DSM 8344, VKM B-2003",1,"Desulfosporosinus hippei",negative
4029,LSv514,"DSM 12342",1,"Desulfotalea arctica",negative
4030,LSv54,"DSM 12343",1,"Desulfotalea psychrophila",negative
3953,H3,"DSM 18732, ATCC BAA 1460",1,"Desulfotignum toluenicum",negative
23185,A5LFS102,"DSM 23699, JCM 14036, MTCC 7767",1,"Desulfotomaculum defluvii",negative
11832,,"DSM 18033, JCM 13992, LAM Lam5, LAM 5",1,"Desulforamulus hydrothermalis",negative
4167,"JS, JS1","DSM 19430, JCM 14597, KCTC 5573",1,"Desulfovibrio psychrotolerans",negative
158350,P1BSR,"DSM 101510, JCM 31065",1,"Maridesulfovibrio salinus",negative
132457,TR1,"DSM 29984, JCM 30680",1,"Desulfurella amilsii",negative
133400,MLFW-2,"DSM 28709, JCM 30866, ATCC PTA-120556",1,"Desulfuribacillus stibiiarsenatis",negative
2497,S5,"DSM 22839, ATCC BAA 1389",1,"Desulfurispirillum indicum",negative
140298,K6013,"DSM 101677, MCCC 1A01868",1,"Desulfurobacterium indicum",negative
4238,112,"DSM 16958, JCM 12927",1,"Desulfuromonas svalbardensis",negative
4210,102,"DSM 16956, JCM 12926",1,"Desulfuromusa ferrireducens",negative
17775,,"DSM 21565, KCTC 5659, USBA 82",1,"Dethiosulfovibrio salsuginis",negative
133463,,"CCM 7427, MTCC 8594, IPL 15",1,"Devosia albogilva",negative
6170,,"DSM 24953, CCM 7426, MTCC 8593, IPL 18",1,"Devosia chinhatensis",negative
133163,HJR-2,"KCTC 52211, NBRC 112271",1,"Devosia confluentis",negative
133462,,"CCM 7425, MTCC 8590, IPL 20",1,"Devosia crocina",negative
133408,S37,"TBRC 5145, LMG 29420",1,"Devosia elaeis",negative
6169,BD-c194,"DSM 19414, KCTC 22082",1,"Devosia geojensis",negative
6172,Cr4-44,"DSM 23846, CGMCC 1.10691, LMG 26051",1,"Devosia glacialis",negative
141130,THG-MM1,"KACC 18281, CCTCC AB 2015121",1,"Devosia humi",negative
6167,DS-56,"DSM 17955, KCTC 12821",1,"Devosia insulae",negative
6165,,"DSM 17137, CIP 109005, LMG 22951",1,"Devosia limi",negative
164276,CM5-1,"JCM 32509, CGMCC 1.13553",1,"Devosia naphthalenivorans",negative
6173,Cr7-05,"DSM 22950, CGMCC 1.10210, CIP 110130",1,"Devosia psychrophila",negative
6168,HST3-14,"DSM 23447, JCM 14206, KCTC 12772, CGMCC 1.10441",1,"Devosia soli",negative
133922,,"NRIC 0884, JCM 18935, KMM 9415",1,"Devosia submarina",negative
6171,Yak96B,"DSM 21277, KCTC 22147, LMG 24299, NBRC 103855",1,"Devosia yakushimensis",negative
17123,,"DSM 19965, CCUG 48837, CIP 108278, ADV 04.01, AIP 25.04, JCM 17567",1,"Dialister micraerophilus",negative
134144,,"AIP 26.04, CIP 108336, CCUG 49291, ADV 1053.03, JCM 17568",1,"Dialister propionicifaciens",negative
17124,,"DSM 21274, JCM 15077, YIT 11850",1,"Dialister succinatiphilus",negative
2957,RF3,"DSM 22780, KCTC 22225, LMG 24467",1,"Diaphorobacter oryzae",negative
4350,B374,"DSM 18020, LMG 25991, NCPPB 898, CFBP 1269",1,"Dickeya dadantii",negative
4349,,"DSM 18013, CFBP 2051, CIP 109104, ICPB ED102, NCPPB 2976",1,"Dickeya dadantii subsp. dieffenbachiae",negative
4351,,"DSM 18054, CFBP 1200, ICMP 6427, LMG 2485, NCPPB 453, CN 26",1,"Dickeya dianthicola",negative
132585,JS5,"DSM 101947, CGMCC 1.15464",1,"Dickeya fangzhongdai",negative
166447,S29,"CFBP 8647, LMG 30899",1,"Dickeya lacustris",negative
166166,2B12,"CFBP 8650, LMG 30903",1,"Dickeya undicola",negative
4352,Sr58,"DSM 18068, CFBP 2052, ICMP 5704, NCPPB 2538",1,"Dickeya zeae",negative
4239,H-6-12,"DSM 3960, ATCC 35947",1,"Dictyoglomus thermophilum",negative
4240,Z-1310,"DSM 6724",1,"Dictyoglomus turgidum",negative
132486,DHOA34,"DSM 100059, CGMCC 1.15023, KCTC 42632",1,"Dinghuibacter silviterrae",negative
13662,,"DSM 16493, DFL 12",1,"Dinoroseobacter shibae",negative
23455,S69,"DSM 25762, VKM B-2760",1,"Dissulfuribacter thermophilus",negative
140917,Sh68,"JCM 19990, VKM B-2854",1,"Dissulfurimicrobium hydrothermale",negative
132569,SH388,"DSM 100025, VKM B-2960",1,"Dissulfurirhabdus thermomarina",negative
17451,,"DSM 17954, CCUG 52462, KCTC 12564, Gsoil 191",1,"Dokdonella ginsengisoli",negative
133856,LM2-5,"CGMCC 1.7659, JCM 15763",1,"Dokdonella immobilis",negative
17450,DS-123,"DSM 17203, KCTC 12396",1,"Dokdonella koreensis",negative
133852,DC-3,"CCTCC AB 2011179, KACC 16511",1,"Dokdonella kunshanensis",negative
17452,KIS28-6,"DSM 23099, JCM 15421, KACC 12741",1,"Dokdonella soli",negative
158805,ZOW29,"KCTC 52956, JCM 32295",1,"Dokdonia aurantiaca",negative
134158,MSKK-32,"NBRC 100817, CIP 108745",1,"Dokdonia diaphoros",negative
5505,DSW-1,"DSM 17200, KCTC 12391, CIP 109306",1,"Dokdonia donghaensis",negative
134157,PMA-26,"NBRC 100814, CIP 108743",1,"Dokdonia eikasta",negative
158637,ZODW10,"KCTC 52953, JCM 32293",1,"Dokdonia flava",negative
134156,Cos-13,"NBRC 100811, CIP 108744",1,"Dokdonia genika",negative
158740,SFD34,"KCTC 52269, JCM 31795",1,"Dokdonia lutea",negative
24510,SW-277,"DSM 29127, JCM 13604, KCTC 12735, CIP 109518",1,"Donghicola eburneus",negative
133612,LM22,"CGMCC 1.7660, JCM 15798, BCRC 80546",1,"Dongia mobilis",negative
164191,DM2,"JCM 32096, BCRC 81069",1,"Dongshaea marina",negative
166326,FT93W,"GDMCC 1.1683, KACC 21475",1,"Duganella fentianensis",negative
141131,,"KCTC 42409, JCM 30745, DCY 83",1,"Massilia ginsengisoli",negative
166327,CY13W,"GDMCC 1.1669, KACC 21461",1,"Duganella qianjiadongensis",negative
133834,Sac-41,"KCTC 22382, NCIMB 14476",1,"Duganella radicis",negative
166354,FT55W,"GDMCC 1.1675, KACC 21467",1,"Duganella rivi",negative
133833,Sac-22,"KCTC 22381, NCIMB 14475",1,"Duganella sacchari",negative
3780,12116,"DSM 23607, CCTCC AB 207176, NRRL B-51268",1,"Dyadobacter alkalitolerans",negative
23879,A54,"DSM 21582, CGMCC 1.6375, JCM 14200",1,"Dyadobacter beijingensis",negative
3777,"CP 183-8","DSM 16708, ATCC BAA 1036, KCTC 23639, CIP 109009, VTT E-072669",1,"Dyadobacter crusticola",negative
132636,65,"DSM 100786, CGMCC 1.15288",1,"Dyadobacter endophyticus",negative
3776,"NS 114","DSM 18053, ATCC 700827, CIP 107007, KCTC 52180",1,"Dyadobacter fermentans",negative
3778,,"DSM 21015, KCTC 12589, LMG 23409, Gsoil 043",1,"Dyadobacter ginsengisoli",negative
130271,AM1R11,"DSM 100346, JCM 17918, KACC 16446",1,"Dyadobacter jejuensis",negative
3779,"WPCB 159","DSM 19938, KCTC 12537, NBRC 101116",1,"Dyadobacter koreensis",negative
164417,RS19,"JCM 32940, ACCC 60381, CGMCC 1.13719",1,"Dyadobacter luteus",negative
166429,T17,"KCTC 52981, CCTCC AB 2017091",1,"Dyadobacter luticola",negative
3782,BZ26,"DSM 22270, CGMCC 1.8951, KCTC 23640",1,"Dyadobacter psychrophilus",negative
23880,MJ20,"DSM 25329, JCM 16232, KCTC 22481",1,"Dyadobacter soli",negative
134005,Y620-1,"JCM 18589, CGMCC 1.12215",1,"Dyadobacter tibetensis",negative
133376,4M-Z03,"NBRC 111980, KCTC 52131",1,"Dyella acidisoli",negative
140754,DKC-1,"KEMB 9005-571, KACC 19176, JCM 31925",1,"Dyella agri",negative
166261,DHC06,"GDMCC 1.1186, LMG 30090",1,"Dyella amyloliquefaciens",negative
141034,DHOB09,"CGMCC 1.15434, LMG 29202",1,"Dyella caseinilytica",negative
166486,"4 M-K27","GDMCC 1.1189, LMG 30267",1,"Dyella choica",negative
166487,DHOA06,"KCTC 52129, NBRC 111978",1,"Dyella dinghuensis",negative
141035,DHOC52,"NBRC 111979, KCTC 52128",1,"Dyella flava",negative
17455,,"DSM 18387, KCTC 12599, Gsoil 3046",1,"Dyella ginsengisoli",negative
159761,DHOG02,"NBRC 111474, CGMCC 1.15435",1,"Dyella halodurans",negative
133215,DHG40,"KCTC 42629, LMG 28842",1,"Dyella humi",negative
17453,XD53,"DSM 16301, ATCC BAA 939, IAM 15069, CCUG 58062, JCM 21530, NBRC 102414",1,"Dyella japonica",negative
24670,SBZ3-12,"DSM 26119, CCTCC AB 2012160, KACC 16539",1,"Dyella jiangningensis",negative
17454,BB4,"CCUG 50883, DSM 17803, KCTC 12359, NBRC 100831, CIP 108881",1,"Dyella koreensis",negative
130847,THG-B117,"DSM 100356, JCM 18747, KACC 16981",1,"Dyella kyungheensis",negative
140577,DHOB07,"NBRC 111473, KCTC 52132",1,"Dyella lipolytica",negative
17456,CS5-B2,"DSM 19710, JCM 14959, KCTC 22144",1,"Dyella marensis",negative
141036,DHON07,"CGMCC 1.15400, NBRC 111475",1,"Dyella mobilis",negative
166465,"4 G-K06","LMG 30268, GDMCC 1.1188",1,"Dyella monticola",negative
166464,4MSK11,"KCTC 62280, GDMCC 1.1185",1,"Dyella psychrodurans",negative
17457,JS12-10,"DSM 23154, JCM 15423, KACC 12747",1,"Dyella soli",negative
17458,JS14-6,"DSM 23153, JCM 15424, KACC 12748",1,"Dyella terrae",negative
17459,ATSB10,"DSM 25733, KACC 12756, LMG 24673",1,"Dyella thiooxydans",negative
12517,,"DSM 22836, CCUG 43457, CDC F9489, CIP 107079, JCM 16699",1,"Dysgonomonas mossii",negative
140047,Dy73,"DSM 105828, JCM 16859, KCTC 5936",1,"Dysgonomonas oryzarvi",negative
159052,J115,"DSM 106889, LMG 30601",1,"Dysosmobacter welbionis",negative
17719,,"DSM 19836, KCTC 12368, KMM 6172, LMG 23350",1,"Echinicola pacifica",negative
140501,JL3085,"NBRC 111782, CGMCC 1.15407",1,"Echinicola rosea",negative
140384,001-Na2,"DSM 103729, KCTC 52495, JCM 31786",1,"Echinicola sediminis",negative
133368,,"MEBiC 08714, KCTC 52052, JCM 31307",1,"Echinicola strongylocentroti",negative
17718,,"DSM 17526, CIP 109902, LMG 23754, KMM 6221",1,"Echinicola vietnamensis",negative
4279,WN22,"DSM 21381, VKM B-2479",1,"Ectothiorhodospira variabilis",negative
140755,4G-K17,"CGMCC 1.15447, LMG 29212",1,"Edaphobacter acidisoli",negative
133,Wbg-1,"DSM 19364, ATCC BAA 1497",1,"Edaphobacter aggregans",negative
159869,4MSH08,"GDMCC 1.1317, KCTC 62475",1,"Edaphobacter bradus",negative
132350,DHF9,"DSM 29920, CGMCC 1.12997",1,"Edaphobacter dinghuensis",negative
158304,,"DSM 104462, SBC 68, VKM B-3208",1,"Edaphobacter lichenicola",negative
159870,HZ411,"GDMCC 1.1193, LMG 30085",1,"Edaphobactr flagellatus",negative
158741,1-116,"CCTCC AB 2017054, KCTC 52843",1,"Edaphobaculum flavum",negative
166115,HME-24,"KCTC 62977, CGMCC 1.13935",1,"Edaphocola flava",negative
132468,"TCB-TBB-0018, UFMG-EV","DSM 100393",1,"Ehrlichia minasensis",negative
140535,,"CSUR E2, CRIRC EMU001, AS 145",1,"Ehrlichia muris",negative
140536,Wisconsin,"CRIRC EMU002, CSUR P2883",1,"Ehrlichia muris subsp. eauclairensis",negative
24749,MD2,"DSM 25217, JCM 30196, LMG 26586",1,"Eilatimonas milleporae",negative
3833,BiosLi/39,"DSM 19307, CIP 109600, OOB 398, BiosLi 39",1,"Ekhidna lutea",negative
17879,"DQ417339, TU-7","DSM 17972, CIP 109115",1,"Elioraea tepidiphila",negative
140756,TH019,"CGMCC 1.15802, LMG 29721",1,"Elstera cyanobacteriorum",negative
14027,"Dia-1, Nil","DSM 19532, LMG 24234",1,"Elstera litoralis",negative
159732,ZYL,"KCTC 62328, JCM 32378, MCCC 1K03526",1,"Paremcibacter congregatus",negative
166207,MRS2,"KCTC 62904, NBRC 113550",1,"Empedobacter tilapiae",negative
164447,17J42-9,"JCM 33056, KCTC 62270",1,"Emticicia agri",negative
168208,THG-DN6.14,"KACC 18540, CGMCC 1.15958",1,"Emticicia aquatilis",negative
133252,,"IMCC 1731, KCTC 52248, JCM 31373",1,"Emticicia fontis",negative
134309,,"KCTC 12588, LMG 23396, Gsoil 085",1,"Emticicia ginsengisoli",negative
3783,GPTSA100-15,"DSM 17448, CIP 109782, MTCC 6937",1,"Emticicia oligotrophica",negative
140503,HMF3850,"CECT 9087, KCTC 42851",1,"Emticicia paludis",negative
140681,ZZ-4,"KCTC 52344, CCTCC AB 2016137",1,"Emticicia soli",negative
133844,M1MS02,"LMG 26838, CECT 8088",1,"Endobacter medicaginis",negative
140464,S-1,"JCM 17961, ATCC BAA 1439",1,"Endothiovibrio diazotrophicus",negative
140757,Acr-14,"BCRC 80922, LMG 29482, KCTC 42901",1,"Endozoicomonas acroporae",negative
134023,EF212,"NCCB 100458, DSM 26535",1,"Endozoicomonas euniceicola",negative
134024,PS125,"NCCB 100438, CECT 8353",1,"Endozoicomonas gorgoniicola",negative
133557,CL-33,"LMG 24815, BCRC 17933",1,"Endozoicomonas montiporae",negative
23035,HC50,"DSM 25634, NBRC 108893",1,"Endozoicomonas numazuensis",negative
133290,,"YIC 4027, HAMBI 3655, LMG 29286",1,"Ensifer alkalisoli",negative
166119,LMR001,"LMG 31426, HAMBI 3707",1,"Ensifer aridi",negative
133536,,"LMG 24692, CIP 109916, ORS 1400",1,"Ensifer garamanticus",negative
140805,,"LMG 29231, HAMBI 3645, CCBAU 23380",1,"Ensifer glycinis",negative
133535,,"LMG 24690, CIP 109850, ORS 1407",1,"Ensifer numidicus",negative
132404,"247, 247BMC, EB-247","DSM 29888, NCCB 100573",1,"Enterobacter bugandensis",negative
166451,"GDMCC1.1427, 90028","CCTCC AB 2018173, CNCTC 7649",1,"Enterobacter chuandaensis",negative
166452,"GDMCC1.1426, 90008","CCTCC AB 2018174, CNCTC 7648",1,"Enterobacter huaxiensis",negative
132602,,"DSM 28020, CGMCC 1.15707, KACC 17832, KCTC 42694, YIM Hb-3, JCM 19646",1,"Enterobacter mori",negative
159819,GDMCC1.1217,"CCTCC AB 2017104, KCTC 52994, WCHECl WCHECL1597",1,"Enterobacter sichuanensis",negative
166112,A649,"CBAS 716, CBRVS P1061",1,"Enterovibrio baiacu",negative
17217,,"DSM 19135, CAIM 912, CBMAI 623, LMG 22228",1,"Enterovibrio coralii",negative
17218,,"DSM 22720, CAIM 661, CECT 7320, DAl 1-1-5",1,"Enterovibrio nigricans",negative
132372,SW014,"DSM 25033, KCTC 42425, MCCC 1K00500, CAIM 1920, JCM 17855",1,"Veronia pacifica",negative
164343,F02,"JCM 32722, FBCC 500047, KCTC 62567",1,"Ephemeroptericola cinctiostellae",negative
24523,U95,"DSM 24752, LMG 26464",1,"Epibacterium ulvae",negative
140918,BSTT30,"LMG 28457, CECT 8692",1,"Erwinia endophytica",negative
140886,EM595,"LMG 28990, CCOS 903",1,"Erwinia gerundensis",negative
4396,,"DSM 16540, CFBP 5189, NCPPB 4294",1,"Erwinia papayae",negative
4404,,"DSM 26166, CECT 7348, CFBP 5888, IVIA 2057.5",1,"Erwinia piriflorinigrans",negative
4401,A37,"DSM 18073, ATCC 700880, CECT 5263, CFBP 6631",1,"Erwinia toletana",negative
4408,Y1,"DSM 22678, LMG 25347",1,"Erwinia typographi",negative
133718,,"LMG 25843, NCPPB 4475, YPPS 951",1,"Erwinia uzenensis",negative
134092,SW110,"KCCM 41818, JCM 12189, CGMCC 1.8484, CIP 108636",1,"Qipengyuania aquimaris",negative
140998,JSSK-14,"KCTC 52764, NBRC 112765",1,"Aurantiacibacter aquimixticola",negative
140758,RC-4-10-4,"CGMCC 1.15507, JCM 31277",1,"Aurantiacibacter arachoides",negative
5383,SW-161,"DSM 16225, KCTC 12227",1,"Qipengyuania gaetbuli",negative
133565,K7-2,"KCTC 22330, JCM 15420",1,"Aurantiacibacter gangjinensis",negative
133796,,"KCTC 23090, JCM 16677, CNU 001",1,"Parerythrobacter jejuensis",negative
5381,T4,"DSM 8509, IAM 14332",1,"Erythrobacter litoralis",negative
166340,EB310,"KCTC 72109, MCCC 1K03690",1,"Erythrobacter mangrovi",negative
133748,HWDM-33,"KCTC 23554, CCUG 60528",1,"Aurantiacibacter marinus",negative
166195,KEM-5,"KACC 19865, KCTC 62896, NBRC 113546",1,"Qipengyuania marisflavi",negative
133552,T30,"CGMCC 1.7715, JCM 16125",1,"Qipengyuania nanhaisediminis",negative
133677,UST081027-248,"JCM 17468, NRRL 59511",1,"Qipengyuania pelagi",negative
5384,SW-135,"DSM 16221, KCTC 12228, JCM 21815, CGMCC 1.8708, DSM 16225, IAM 15371",1,"Qipengyuania seohaensis",negative
5387,E5,"DSM 8510, IAM 14333, NCIMB 13404, JCM 10282, ATCC 700003, CIP 106927, NBRC 102621",1,"Erythrobacter ramosus",negative
4434,"K12 HB101, HB101","DSM 1607",0,"Escherichia coli",negative
143604,,"CCUG 20560, ATCC 35585, KCTC 15025, VPI D45A.29A",1,"Eubacterium sulci",negative
5730,AS06/20a,"DSM 19308, CIP 109577, OOB 358",1,"Eudoraea adriatica",negative
158624,,"KCCM 43264, JCM 32170, MEBiC 12267",1,"Euzebyella algicola",negative
133394,,"CCTCC AB 2014348, KCTC 42440, CY 01",1,"Euzebyella marina",negative
133614,7SM30,"CECT 7477, KCTC 22655, CIP 109943",1,"Euzebyella saccharophila",negative
134353,RASEN,"JCM 14728, NBRC 103205, KCTC 5595",1,"Exilispira thermophila",negative
131261,S4,"DSM 100911, CGMCC 1.10977, JCM 17803",1,"Extensimonas vulgaris",negative
134177,UST030701-097,"NRRL B-41220, JCM 13334, CIP 109252, DSM 113472",1,"Roseivirga halotolerans",negative
141117,A4,"KCTC 42507, CGMCC 1.15111",1,"Roseivirga thermotolerans",negative
166289,,"DSM 103991, KCTC 52556, SYSU SYW-5",1,"Facilibium subflavum",negative
132681,WN011,"DSM 22923, JCM 16476",1,"Falcatimonas natans",negative
166344,,"KCTC 52106, CCTCC AB 2016031, YIM 102744-1",1,"Falsigemmobacter faecalis",negative
133888,JA744,"KCTC 32158, NBRC 108897",1,"Falsirhodobacter halotolerans",negative
23811,B1315,"DSM 26720, CCM 8460, LMG 27356",1,"Falsochrobactrum ovis",negative
5754,UST040201-002,"DSM 21703, JCM 14605, NRRL B-41860",1,"Fangia hongkongensis",negative
140144,ING2-E5B,"DSM 28696, CECT 8609, LMG 28429",1,"Fermentimonas caenicola",negative
159721,An22,"JCM 30584, NBRC 112974, ATCC TSD-51",1,"Ferrigenium kumadai",negative
108,T23,"DSM 19497, ATCC BAA 1647, DSM 11138",1,"Ferrimicrobium acidiphilum",negative
133991,CJ24,"KACC 17065, JCM 18720",1,"Ferrimonas gelatinilytica",negative
5455,A4D-4,"DSM 16917, CIP 109004, MBIC 06480",1,"Ferrimonas marina",negative
133937,CBA4601,"KACC 16695, KCTC 32029, JCM 18401",1,"Ferrimonas pelagia",negative
24008,JYr13,"DSM 23317, LMG 25564, JCM 17552",1,"Ferrimonas sediminum",negative
5458,P2S11,"DSM 18821, ATCC BAA 1480",1,"Ferrimonas senticii",negative
109,Y005,"DSM 19514, ATCC BAA 1645",1,"Ferrithrix thermotolerans",negative
158602,A15,"KEMB 9005-522, KACC 19102, NBRC 112682",1,"Ferrovibrio soli",negative
133514,HU1-GD23,"KCTC 22306, LMG 4312, LMG 24312",1,"Ferruginibacter alkalilentus",negative
133515,HU1-HG42,"KCTC 22305, LMG 24324",1,"Ferruginibacter lapsinanis",negative
166235,WD2A32,"KCTC 52888, MCCC 1H00201",1,"Ferruginivarius sediminum",negative
23861,AeB,"DSM 25808, JCM 15555, KCTC 5667",1,"Fervidicella metallireducens",negative
16698,Y170,"DSM 21121, JCM 15106, KCTC 5610",1,"Fervidicola ferrireducens",negative
17038,CBS-1,"DSM 17883, JCM 13353",1,"Fervidobacterium changbaicum",negative
17033,Rt17-B1,"DSM 5306, ATCC 35602",1,"Fervidobacterium nodosum",negative
3835,,"DSM 22563, CCUG 58136, BUZ 2",1,"Fibrella aestuarina",negative
166120,HYT19,"CCTCC AB 2018342, JCM 33105",1,"Fibrisoma montanum",negative
140705,CC-YHH650,"BCRC 80935, JCM 31197",1,"Filimonas aquilariae",negative
133141,1458,"NRRL B-65305, LMG 29039",1,"Arvibacter aurantiibacter",negative
17763,YT21,"DSM 21054, NBRC 104114",1,"Filimonas lacunae",negative
132574,772,"DSM 100760, CGMCC 1.15290",1,"Filimonas zeae",negative
132355,SMR-C,"DSM 100392, JCM 19453",1,"Filobacterium rodentium",negative
134360,SLG5B-19,"CGMCC 1.64975, LMG 23927",1,"Filomicrobium insigne",negative
164419,,"JCM 32942, KACC 19790, AST 0115",1,"Muricauda algicola",negative
159764,ECD12,"KCTC 52351, JCM 32292",1,"Muricauda koreensis",negative
134211,,"KCCM 42307, JCM 13831, DOKDO 007",1,"Muricauda eckloniae",negative
24011,YS10,"DSM 26273, IAM 15451, JCM 23196, NCIMB 14281",1,"Flammeovirga kamogawensis",negative
24012,WPAGA1,"DSM 24597, CCTCC AB 2010364, LMG 26175, MCCC 1A06425",1,"Flammeovirga pacifica",negative
164473,17J68-12,"JCM 33179, KCTC 62219",1,"Flaviaesturariibacter flavus",negative
140292,AW305,"DSM 100282, LMG 29416",1,"Flaviaestuariibacter luteus",negative
140957,HY03,"KCTC 52511, JCM 31723",1,"Flaviaestuariibacter terrae",negative
140822,MDM-7,"KCTC 42722, CECT 8899",1,"Flavimaricola marinus",negative
140759,MBLN091,"KCTC 52527, JCM 31731",1,"Flavimarina flava",negative
159790,RB1R16,"CGMCC 1.16126, NBRC 113112",1,"Flavipsychrobacter stenotrophus",negative
140553,OITF-51,"KCTC 52657, NBRC 112707",1,"Flaviramulus aestuariivivens",negative
17762,GS643,"DSM 18119, KCTC 12657, Gsoil 643, CIP 109741",1,"Flavisolibacter ginsengisoli",negative
17761,GS492,"DSM 18136, KCTC 12656, Gsoil 492, CIP 109740",1,"Flavisolibacter ginsengiterrae",negative
158640,TX0661,"KACC 19145, KCTC 52779, NBRC 111784",1,"Flavisolibacter metallilatus",negative
166534,X7X,"KCTC 62326, CGMCC 16451",1,"Flavisolibacter nicotianae",negative
140505,LCS9,"KCTC 42070, JCM 19972",1,"Flavisolibacter tropicus",negative
140550,AQ6-291,"CCTCC AB 2016109, KCTC 52491",1,"Flavitalea antarctica",negative
133799,JCN-23,"ACCC 05418, KCTC 23071",1,"Flavitalea gansuensis",negative
133146,KIS20-3,"KACC 17319, JCM 19937",1,"Flavitalea soli",negative
133734,JC2681,"KACC 14157, JCM 17112",1,"Flavivirga amylovorans",negative
140956,EC2D5,"KCTC 52353, JCM 31796",1,"Flavivirga aquimarina",negative
140955,ECD14,"KCTC 52352, JCM 31797",1,"Flavivirga eckloniae",negative
133735,JC2682,"KACC 14158, JCM 17113",1,"Flavivirga jejuensis",negative
24021,JJ013,"DSM 25663, JCM 18211, KACC 16594",1,"Flavobacterium aciduliphilum",negative
166415,SSM4.2,"KCTC 72807, MCCC 1K04370",1,"Flavobacterium ajazii",negative
24024,IK-1,"DSM 25510, ATCC BAA 2412, CIP 110358",1,"Flavobacterium akiainvivens",negative
159806,HYN0059,"KACC 19183, NBRC 112744",1,"Flavobacterium album",negative
133512,,"NBRC 102673, CIP 109574, TC 2",1,"Flavobacterium algicola",negative
158819,HR-AY,"KACC 19407, JCM 32264",1,"Flavobacterium alvei",negative
166172,LLJ-11,"BCRC 81124, LMG 30599, KCTC 62514",1,"Flavobacterium amnicola",negative
158535,KYPY10,"BCRC 81006, LMG 29727, KCTC 52443",1,"Flavobacterium amniphilum",negative
133830,MK3,"LMG 26441, NCCB 100384",1,"Myroides anatoliensis",negative
5570,D3,"DSM 22555, CGMCC 1.6859, KCTC 22128, JCM 14864, CIP 109938",1,"Flavobacterium anhuiense",negative
5557,AT1026,"DSM 19726, CIP 108750, IMSNU 14042, JCM 12383, KCTC 12222, KCTC 23290, KCTC 52532, LMG 25319",1,"Flavobacterium antarcticum",negative
133997,JC164,"KCTC 32196, CGMCC 1.12398, LMG 27251",1,"Flavobacterium aquaticum",negative
132986,TMd3a3,"DSM 100880, JCM 30987, BCRC 81042",1,"Flavobacterium aquicola",negative
5550,WB1.1-56,"DSM 18293, CCUG 59847, CIP 109242, KCTC 22840, WB 1.1-56",1,"Flavobacterium aquidurense",negative
5585,LM-19-Fp,"DSM 24704, CCM 7939, CCUG 61031, LMG 26359",1,"Flavobacterium araucananum",negative
