,Accession,Host,Isolation Host,staining
3068,NC_030953,Shigella,Shigella sonnei,negative
3077,NC_030919,Salmonella,Salmonella enterica,positive
3081,NC_030884,Sulfolobus,Sulfolobus islandicus,negative
3083,NC_029016,Enterococcus,Enterococcus faecalis,positive
3084,NC_028990,Enterococcus,Enterococcus faecalis,positive
3085,NC_028694,Propionibacterium,Propionibacterium acnes,positive
3086,NC_028670,Klebsiella,Klebsiella pneumoniae,negative
3090,OP870147,Escherichia,Escherichia coli,negative
3091,OP819285,Cronobacter,Cronobacter sakazakii,negative
3092,OP819284,Cronobacter,Cronobacter sakazakii,negative
3093,OP869855,Lacticaseibacillus,Lacticaseibacillus rhamnosus,positive
3094,OP869854,Lacticaseibacillus,Lacticaseibacillus rhamnosus,positive
3095,OP869853,Lacticaseibacillus,Lacticaseibacillus rhamnosus,positive
3096,OP869852,Lacticaseibacillus,Lacticaseibacillus rhamnosus,positive
3097,OP869851,Lacticaseibacillus,Lacticaseibacillus rhamnosus,positive
3098,OP869850,Lacticaseibacillus,Lacticaseibacillus rhamnosus,positive
3099,OP869849,Lacticaseibacillus,Lacticaseibacillus rhamnosus,positive
3100,OP869848,Lacticaseibacillus,Lacticaseibacillus rhamnosus,positive
3101,OP869847,Lacticaseibacillus,Lacticaseibacillus rhamnosus,positive
3102,OP869845,Lacticaseibacillus,Lacticaseibacillus rhamnosus,positive
3103,OP869844,Lacticaseibacillus,Lacticaseibacillus rhamnosus,positive
3104,OP869843,Lacticaseibacillus,Lacticaseibacillus casei,positive
3109,OQ031076,Shigella,Shigella flexneri,negative
3110,OQ031075,Klebsiella,Klebsiella pneumoniae,negative
3111,OQ031074,Shigella,Shigella flexneri,negative
3112,OQ031073,Shigella,Shigella flexneri,negative
3113,OQ031072,Shigella,Shigella flexneri,negative
3114,OQ106917,Vibrio,Vibrio harveyi,negative
3115,OQ116603,Bacteroides,Bacteroides fragilis,negative
3116,OQ108497,Escherichia,MDR Escherichia,negative
3117,OQ094961,Staphylococcus,Staphylococcus aureus,positive
3118,OQ053201,Burkholderia,Burkholderia contaminans,negative
3119,OP966774,Salmonella,Salmonella sp.,positive
3120,OP991903,Erwinia,Erwinia amylovora,negative
3121,OP978391,Escherichia,Escherichia coli,negative
3122,OP978318,Salmonella,Salmonella sp.,positive
3123,OP961718,Staphylococcus,Staphylococcus aureus,positive
3124,NC_027335,Enterococcus,Enterococcus faecalis,positive
3125,NC_019516,Synechococcus,Parasynechococcus marenigrum,negative
3126,NC_062738,Methanobacterium,Methanobacterium formicicum,negative
3127,NC_020414,Salmonella,Salmonella enterica,positive
3128,NC_055708,Escherichia,Escherichia coli,negative
3129,NC_055041,Staphylococcus,Staphylococcus aureus,positive
3130,NC_055037,Leuconostoc,Leuconostoc pseudomesenteroides,positive
3131,NC_054978,Staphylococcus,Staphylococcus aureus,positive
3132,NC_054977,Staphylococcus,Staphylococcus aureus,positive
3133,NC_054954,Natrialba,Natrialba magadii,negative
3134,NC_054952,Stenotrophomonas,Stenotrophomonas sp.,negative
3135,NC_054905,Escherichia,Escherichia coli,negative
3136,NC_054903,Escherichia,Escherichia coli,negative
3137,NC_054902,Escherichia,Escherichia coli,negative
3139,NC_052650,Halobacterium,Halobacterium salinarum,negative
3140,NC_049943,Escherichia,E. coli,negative
3141,NC_049942,Escherichia,Escherichia coli,negative
3142,NC_049809,Lactococcus,Lactococcus lactis,positive
3144,NC_049370,Lactococcus,Lactococcus lactis,positive
3145,NC_049369,Lactococcus,Lactococcus lactis,positive
3146,NC_049368,Lactococcus,Lactococcus lactis,positive
3147,NC_049367,Lactococcus,Lactococcus lactis,positive
3148,NC_049366,Lactococcus,Lactococcus lactis,positive
3149,NC_049365,Lactococcus,Lactococcus lactis,positive
3150,NC_049364,Lactococcus,Lactococcus lactis,positive
3151,NC_049363,Lactococcus,Lactococcus lactis,positive
3152,NC_049362,Lactococcus,Lactococcus lactis,positive
3153,NC_049361,Lactococcus,Lactococcus lactis,positive
3154,NC_049360,Lactococcus,Lactococcus lactis,positive
3155,NC_049359,Lactococcus,Lactococcus lactis,positive
3156,NC_049358,Lactococcus,Lactococcus lactis,positive
3157,NC_049357,Lactococcus,Lactococcus lactis,positive
3158,NC_049356,Lactococcus,Lactococcus lactis,positive
3159,NC_049355,Lactococcus,Lactococcus lactis,positive
3160,NC_049354,Lactococcus,Lactococcus lactis,positive
3161,NC_049353,Lactococcus,Lactococcus sp.,positive
3162,NC_049352,Lactococcus,Lactococcus sp.,positive
3163,NC_049351,Lactococcus,Lactococcus lactis,positive
3164,NC_049350,Vibrio,Vibrio cholerae,negative
3165,NC_048630,Pseudoalteromonas,Pseudoalteromonas sp.,negative
3168,NC_048785,Salmonella,Salmonella sp.,positive
3171,NC_048635,Staphylococcus,Staphylococcus aureus,positive
3172,NC_048634,Staphylococcus,Staphylococcus aureus,positive
3173,NC_047757,Caulobacter,Caulobacter crescentus,negative
3174,NC_048015,Synechococcus,Synechococcus sp.,negative
3176,NC_047940,Yersinia,Yersinia pestis,negative
3177,NC_047939,Yersinia,Yersinia pestis,negative
3181,NC_047867,Escherichia,Escherichia coli,negative
3182,NC_047855,Staphylococcus,Staphylococcus aureus,positive
3183,NC_047854,Cronobacter,Cronobacter sakazakii,negative
3184,NC_047759,Dickeya,Dickeya sp.,negative
3185,NC_047758,Pectobacterium,Wasabia japonica,negative
3186,NC_047756,Caulobacter,Caulobacter crescentus,negative
3187,NC_047755,Yersinia,Yersinia enterocolitica,negative
3188,NC_047754,Escherichia,Escherichia coli,negative
3189,NC_047753,Salmonella,Salmonella enterica,positive
3190,NC_047752,Burkholderia,Burkholderia cenocepacia,negative
3191,NC_047751,Ralstonia,Ralstonia solanacearum,negative
3192,NC_047750,Mannheimia,Mannheimia haemolytica,negative
3193,NC_047749,Escherichia,Escherichia coli,negative
3194,NC_047748,Klebsiella,Klebsiella pneumoniae,negative
3196,NC_047746,Vibrio,Vibrio sp.,negative
3197,NC_047742,Escherichia,Escherichia coli,negative
3198,NC_047741,Vibrio,Vibrio cholerae,negative
3199,NC_047740,Escherichia,Escherichia coli,negative
3200,NC_047739,Lactobacillus,Lactobacillus plantarum,positive
3202,NC_047737,Vibrio,Vibrio alginolyticus,negative
3203,NC_047734,Synechococcus,Synechococcus,negative
3204,NC_047733,Synechococcus,Synechococcus,negative
3205,NC_019524,Enterobacter,Enterobacter cancerogenus,negative
3206,NC_042345,Xylella,Xylella fastidiosa,negative
3207,NC_042344,Xylella,Xylella fastidiosa,negative
3209,NC_042136,Vibrio,Vibrio harveyi,negative
3210,NC_042134,Enterococcus,Enterococcus faecalis,positive
3212,NC_042130,Escherichia,Escherichia coli,negative
3213,NC_042129,Escherichia,Escherichia coli,negative
3214,NC_042128,Escherichia,Escherichia coli,negative
3217,NC_042065,Salmonella,Salmonella enterica,positive
3219,NC_042057,Escherichia,Escherichia coli,negative
3220,NC_042048,Listeria,Listeria monocytogenes,positive
3221,NC_042046,Escherichia,Escherichia coli,negative
3222,NC_042029,Edwardsiella,Edwardsiella ictaluri,negative
3223,NC_042028,Acinetobacter,Acinetobacter baumannii,negative
3224,NC_042024,Lactococcus,Lactococcus lactis,positive
3225,NC_041981,Klebsiella,Klebsiella pneumoniae,negative
3226,NC_041980,Enterobacter,Enterobacter aerogenes,negative
3227,NC_041979,Escherichia,Escherichia coli,negative
3228,NC_041978,Erwinia,Erwinia amylovora,negative
3229,NC_041977,Citrobacter,Citrobacter freundii,negative
3230,NC_041962,Tsukamurella,Tsukamurella inchonensis,positive
3231,NC_041960,Enterococcus,Enterococcus faecalis,positive
3232,NC_041959,Enterococcus,Enterococcus faecalis,positive
3233,NC_041958,Roseobacter,Roseobacter denitrificans,negative
3234,NC_041957,Propionibacterium,Propionibacterium acnes,positive
3235,NC_041956,Propionibacterium,Propionibacterium acnes,positive
3236,NC_041955,Propionibacterium,Propionibacterium acnes,positive
3238,NC_041935,Escherichia,Escherichia coli,negative
3240,NC_041923,Salmonella,Salmonella sp.,positive
3241,NC_041910,Vibrio,Vibrio vulnificus,negative
3244,NC_041906,Escherichia,Escherichia coli,negative
3245,NC_041898,Escherichia,Escherichia coli,negative
3246,NC_041897,Escherichia,Escherichia coli,negative
3247,NC_041871,Escherichia,Escherichia coli,negative
3249,NC_041869,Escherichia,Escherichia coli,negative
3250,NC_041868,Paracoccus,Paracoccus sp.,negative
3252,NC_041866,Acinetobacter,Acinetobacter sp.,negative
3254,NC_041864,Escherichia,Escherichia coli,negative
3255,NC_041863,Escherichia,Escherichia coli,negative
3256,NC_041862,Listeria,Listeria monocytogenes,positive
3257,NC_041861,Enterococcus,Enterococcus faecalis,positive
3258,NC_041857,Acinetobacter,Acinetobacter baumannii,negative
3260,NC_041854,Pectobacterium,Pectobacterium atrosepticum,negative
3263,NC_009552,Geobacillus,Geobacillus,positive
3264,NC_028808,Escherichia,Escherichia coli,negative
3265,NC_004775,Salmonella,Salmonella enterica,positive
3266,NC_028935,Escherichia,Escherichia coli,negative
3267,NC_028987,Acinetobacter,Acinetobacter baumannii,negative
3269,NC_028908,Achromobacter,Achromobacter xylosoxidans,negative
3271,NC_027348,Delftia,Delftia tsuruhatensis,negative
3272,NC_029003,Salmonella,Salmonella enterica,positive
3273,NC_028696,Salmonella,Salmonella enterica,positive
3274,NC_029015,Salmonella,Salmonella enterica,positive
3275,NC_028701,Salmonella,Salmonella enterica,positive
3278,NC_031936,Gordonia,Gordonia alkanivorans,positive
3285,NC_031909,Campylobacter,Campylobacter jejuni,negative
3288,NC_031264,Brucella,Brucella inopinata,negative
3289,NC_031242,Synechococcus,Synechococcus sp.,negative
3290,NC_031280,Acinetobacter,Acinetobacter baumannii,negative
3291,NC_031260,Enterococcus,Enterococcus faecium,positive
3292,NC_031235,Synechococcus,Synechococcus sp.,negative
3293,NC_023594,Shewanella,Shewanella putrefaciens,negative
3294,NC_031095,Klebsiella,Klebsiella oxytoca,negative
3295,NC_031053,Klebsiella,Klebsiella pneumoniae,negative
3296,NC_031047,Escherichia,Escherichia coli,negative
3297,NC_031042,Salmonella,Salmonella typhimurium,positive
3298,NC_031019,Salmonella,Salmonella enterica,positive
3299,NC_031086,Acinetobacter,Acinetobacter baumannii,negative
3304,NC_030935,Gordonia,Gordonia rubropertincta,positive
3305,NC_030933,Staphylococcus,Staphylococcus aureus,positive
3306,NC_030916,Tsukamurella,Tsukamurella paurometabola,positive
3307,NC_030906,Gordonia,Gordonia malaquae,positive
3308,NC_030939,Gordonia,Gordonia malaquae,positive
3309,NC_030932,Gordonia,Gordonia sputi,positive
3311,NC_030907,Gordonia,Gordonia malaquae,positive
3312,NC_030902,Gordonia,Gordonia malaquae,positive
3315,NC_030848,Haloarcula,Haloarcula californiae,negative
3317,NC_028695,Enterobacter,Enterobacter aerogenes,negative
3318,NC_019919,Yersinia,Yersinia enterocolitica,negative
3320,NC_029106,Achromobacter,Achromobacter xylosoxidans,negative
3323,NC_029120,Shigella,Shigella sonnei,negative
3324,NC_029119,Staphylococcus,Staphylococcus epidermidis,positive
3325,NC_029118,Lactococcus,Lactococcus garvieae,positive
3327,NC_029107,Ralstonia,Ralstonia solanacearum,negative
3328,NC_029103,Sulfolobus,Sulfolobus,negative
3329,NC_029102,Enterobacter,Enterobacter cloacae,negative
3331,NC_029100,Pseudoalteromonas,Pseudoalteromonas sp.,negative
3332,NC_029099,Klebsiella,Klebsiella pneumoniae,negative
3333,NC_029094,Pseudoalteromonas,Pseudoalteromonas marina,negative
3334,NC_029092,Caulobacter,Caulobacter sp.,negative
3335,NC_029091,Escherichia,Escherichia coli,negative
3336,NC_029081,Pectobacterium,Pectobacterium atrosepticum,negative
3337,NC_029080,Staphylococcus,Staphylococcus,positive
3338,NC_029078,Erysipelothrix,Erysipelothrix rhusiopathiae,positive
3339,NC_029075,Achromobacter,Achromobacter xylosoxidans,negative
3340,NC_029074,Gordonia,Gordonia sp.,positive
3341,NC_029068,Lactobacillus,Lactobacillus fermentum,positive
3343,NC_029061,Rhodoferax,Rhodoferax sp.,negative
3344,NC_029060,Gordonia,Gordonia sp.,positive
3345,NC_029058,Lactobacillus,Lactobacillus fermentum,positive
3346,NC_029057,Vibrio,Vibrio parahaemolyticus,negative
3347,NC_029047,Verrucomicrobia,Puniceicoccales sp.,negative
3348,NC_029046,Sinorhizobium,Sinorhizobium sp.,negative
3349,NC_024206,Lactobacillus,Lactobacillus gasseri,positive
3351,NC_029033,Achromobacter,Achromobacter xylosoxidans,negative
3358,NC_028880,Citrobacter,Citrobacter freundii,negative
3359,NC_028857,Citrobacter,Citrobacter freundii,negative
3361,NC_028772,Enterobacter,Enterobacter aerogenes,negative
3362,NC_028755,Citrobacter,Citrobacter sp.,negative
3370,NC_029031,Synechococcus,Synechococcus sp.,negative
3372,NC_029028,Escherichia,Escherichia coli,negative
3373,NC_029026,Enterococcus,Enterococcus faecalis,positive
3374,NC_029025,Staphylococcus,Staphylococcus haemolyticus,positive
3375,NC_029023,Escherichia,Escherichia coli,negative
3376,NC_029021,Escherichia,Escherichia coli,negative
3377,NC_029020,Sulfolobus,Sulfolobus,negative
3378,NC_029019,Stenotrophomonas,Stenotrophomonas maltophilia,negative
3380,NC_029013,Citrobacter,Citrobacter freundii,negative
3381,NC_029011,Sulfolobus,Sulfolobus,negative
3382,NC_029010,Staphylococcus,Staphylococcus aureus,positive
3383,NC_029009,Enterococcus,Enterococcus faecalis,positive
3384,NC_029007,Ralstonia,Ralstonia solanacearum,negative
3385,NC_029002,Microcystis,Microcystis aeruginosa,negative
3386,NC_029000,Stenotrophomonas,Stenotrophomonas maltophilia,negative
3388,NC_028997,Escherichia,Escherichia coli,negative
3389,NC_028995,Acinetobacter,Acinetobacter soli,negative
3390,NC_028988,Ralstonia,Ralstonia solanacearum,negative
3393,NC_028977,Klebsiella,Klebsiella pneumoniae,negative
3394,NC_028972,Gordonia,Gordonia sp.,positive
3396,NC_028967,Propionibacterium,Propionibacterium acnes,positive
3397,NC_028966,Tsukamurella,Tsukamurella inchonensis,positive
3398,NC_028962,Staphylococcus,Staphylococcus sp.,positive
3399,NC_028957,Escherichia,Escherichia coli,negative
3400,NC_028956,Mannheimia,Mannheimia haemolytica,negative
3401,NC_028955,Prochlorococcus,Prochlorococcus sp.,negative
3403,NC_028943,Escherichia,Escherichia coli,negative
3408,NC_028929,Listeria,Listeria monocytogenes,positive
3409,NC_028927,Escherichia,Escherichia coli,negative
3411,NC_028925,Escherichia,Escherichia coli,negative
3413,NC_028917,Staphylococcus,Staphylococcus aureus,positive
3414,NC_028916,Proteus,Proteus mirabilis,negative
3415,NC_028915,Staphylococcus,Staphylococcus aureus,positive
3416,NC_028911,Lactobacillus,Lactobacillus paracasei,positive
3417,NC_028903,Escherichia,Escherichia coli,negative
3418,NC_028901,Escherichia,Escherichia coli,negative
3419,NC_028899,Ralstonia,Ralstonia solanacearum,negative
3420,NC_028898,Mannheimia,Mannheimia haemolytica,negative
3421,NC_028896,Escherichia,Escherichia coli,negative
3422,NC_028895,Vibrio,Vibrio cholerae,negative
3423,NC_028894,Escherichia,Escherichia coli,negative
3424,NC_028888,Lactobacillus,Lactobacillus paracasei,positive
3427,NC_028881,Escherichia,Escherichia coli,negative
3429,NC_028872,Escherichia,Escherichia coli,negative
3430,NC_028871,Listeria,Listeria monocytogenes,positive
3431,NC_028870,Klebsiella,Klebsiella pneumoniae,negative
3432,NC_028865,Tsukamurella,Tsukamurella inchonensis,positive
3433,NC_028863,Escherichia,Escherichia coli,negative
3434,NC_028862,Staphylococcus,Staphylococcus aureus,positive
3435,NC_028859,Staphylococcus,Staphylococcus aureus,positive
3436,NC_028855,Acinetobacter,Acinetobacter sp.,negative
3437,NC_028853,Mannheimia,Mannheimia haemolytica,negative
3439,NC_028850,Yersinia,Yersinia enterocolitica,negative
3440,NC_028848,Acinetobacter,Acinetobacter baumannii,negative
3443,NC_028835,Lactobacillus,Lactobacillus paracasei,positive
3444,NC_028834,Achromobacter,Achromobacter xylosoxidans,negative
3445,NC_028831,Escherichia,Escherichia coli,negative
3446,NC_028830,Lactobacillus,Lactobacillus paracasei,positive
3447,NC_028829,Vibrio,Vibrio alginolyticus,negative
3448,NC_028826,Enterococcus,Enterococcus faecium,positive
3449,NC_028822,Escherichia,Escherichia coli,negative
3450,NC_028821,Staphylococcus,Staphylococcus epidermidis,positive
3451,NC_028820,Yersinia,Yersinia enterocolitica,negative
3452,NC_028819,Pseudoalteromonas,Pseudoalteromonas marina,negative
3454,NC_028816,Klebsiella,Klebsiella pneumoniae,negative
3455,NC_028812,Proteus,Proteus mirabilis,negative
3458,NC_028800,Klebsiella,Klebsiella pneumoniae,negative
3459,NC_028799,Vibrio,Vibrio cholerae,negative
3460,NC_028795,Enterobacter,Enterobacter cloacae,negative
3463,NC_028786,Klebsiella,Klebsiella pneumoniae,negative
3464,NC_028783,Lactobacillus,Lactobacillus paracasei,positive
3466,NC_028776,Escherichia,Escherichia coli,negative
3467,NC_028775,Staphylococcus,Staphylococcus aureus,positive
3468,NC_028774,Klebsiella,Klebsiella pneumoniae,negative
3469,NC_028773,Cronobacter,Cronobacter sakazakii,negative
3471,NC_028768,Achromobacter,Achromobacter xylosoxidans,negative
3473,NC_028766,Mannheimia,Mannheimia haemolytica,negative
3474,NC_028765,Staphylococcus,Staphylococcus sp.,positive
3475,NC_028762,Proteus,Proteus mirabilis,negative
3477,NC_028754,Salmonella,Salmonella enterica,positive
3478,NC_028750,Klebsiella,Klebsiella pneumoniae,negative
3481,NC_028247,Citrobacter,Citrobacter freundii,negative
3482,NC_028743,Mannheimia,Mannheimia haemolytica,negative
3483,NC_028698,Salmonella,Salmonella enterica,positive
3484,NC_028672,Cronobacter,Cronobacter sp.,negative
3485,NC_028702,Delftia,Delftia sp.,negative
3486,NC_028699,Salmonella,Salmonella enterica,positive
3487,NC_028688,Klebsiella,Klebsiella pneumoniae,negative
3488,NC_028685,Shigella,Shigella sonnei,negative
3489,NC_028684,Acinetobacter,Acinetobacter baumannii,negative
3490,NC_028683,Edwardsiella,Edwardsiella ictaluri,negative
3491,NC_028679,Acinetobacter,Acinetobacter baumannii,negative
3492,NC_028676,Sinorhizobium,Sinorhizobium meliloti,negative
3493,NC_028675,Acinetobacter,Acinetobacter baumannii,negative
3494,NC_028673,Gordonia,Gordonia malaquae,positive
3495,NC_028669,Staphylococcus,Staphylococcus aureus,positive
3496,NC_028668,Gordonia,Gordonia malaquae,positive
3498,NC_028665,Gordonia,Gordonia terrae,positive
3499,NC_028664,Klebsiella,Klebsiella pneumoniae,negative
3500,NC_028663,Prochlorococcus,Prochlorococcus sp.,negative
3501,NC_028662,Mycobacterium,Mycobacterium phlei,positive
3502,NC_028660,Escherichia,Escherichia coli,negative
3503,NC_028656,Escherichia,Escherichia coli,negative
3504,NC_028653,Gordonia,Gordonia terrae,positive
3507,NC_028449,Escherichia,Escherichia coli,negative
3508,NC_028448,Escherichia,Escherichia coli,negative
3509,NC_028268,Aeropyrum,Aeropyrum pernix,negative
3510,NC_028256,Aeropyrum,Aeropyrum pernix,negative
3511,NC_028248,Escherichia,Escherichia coli,negative
3512,NC_027988,Citrobacter,Citrobacter sp.,negative
3513,NC_026610,Vibrio,Vibrio parahaemolyticus,negative
3514,NC_024142,Escherichia,Escherichia coli,negative
3515,NC_020490,Staphylococcus,Staphylococcus hominis,positive
3516,NC_004914,Escherichia,Escherichia coli,negative
3517,NC_004913,Escherichia,Escherichia coli,negative
3518,NC_011085,Morganella,Morganella morganii,negative
3519,NC_008206,Mycobacterium,Mycobacterium sp.,positive
3520,NC_027995,Escherichia,Escherichia coli,negative
3521,NC_027987,Leuconostoc,Leuconostoc mesenteroides,positive
3522,NC_027994,Escherichia,Escherichia coli,negative
3523,NC_027993,Escherichia,Escherichia coli,negative
3524,NC_027982,Lactobacillus,Lactobacillus fermentum,positive
3525,NC_027981,Vibrio,Vibrio parahaemolyticus,negative
3526,NC_027980,Enterobacter,Enterobacter cloacae,negative
3527,NC_024124,Escherichia,avian pathogenic,negative
3528,NC_026607,Salmonella,Salmonella Typhimurium,positive
3529,NC_027397,Vibrio,Vibrio cholerae,negative
3531,NC_027395,Escherichia,Escherichia coli,negative
3532,NC_027393,Vibrio,Vibrio cholerae,negative
3533,NC_027392,Propionibacterium,Propionibacterium acnes,positive
3534,NC_027391,Propionibacterium,Propionibacterium acnes,positive
3535,NC_027390,Proteus,Proteus mirabilis,negative
3536,NC_027389,Propionibacterium,Propionibacterium acnes,positive
3538,NC_027386,Propionibacterium,Propionibacterium acnes,positive
3539,NC_027385,Propionibacterium,Propionibacterium acnes,positive
3541,NC_027383,Escherichia,Escherichia coli,negative
3542,NC_027382,Shigella,Shigella flexneri,negative
3543,NC_027381,Escherichia,Escherichia coli,negative
3544,NC_027380,Propionibacterium,Propionibacterium acnes,positive
3545,NC_027379,Proteus,Proteus mirabilis,negative
3546,NC_027377,Leuconostoc,Leuconostoc mesenteroides,positive
3547,NC_027376,Propionibacterium,Propionibacterium acnes,positive
3548,NC_027373,Propionibacterium,Propionibacterium acnes,positive
3549,NC_027370,Propionibacterium,Propionibacterium acnes,positive
3550,NC_027367,Propionibacterium,Propionibacterium acnes,positive
3551,NC_027363,Proteus,Proteus mirabilis,negative
3552,NC_027362,Propionibacterium,Propionibacterium acnes,positive
3553,NC_027361,Propionibacterium,Propionibacterium acnes,positive
3554,NC_027360,Salmonella,Salmonella enterica,positive
3555,NC_027358,Leuconostoc,Leuconostoc mesenteroides,positive
3556,NC_027357,Propionibacterium,Propionibacterium acnes,positive
3558,NC_027354,Propionibacterium,Propionibacterium acnes,positive
3560,NC_027347,Propionibacterium,Propionibacterium acnes,positive
3561,NC_027346,Propionibacterium,Propionibacterium acnes,positive
3562,NC_027342,Proteus,Proteus mirabilis,negative
3563,NC_027341,Lactococcus,Lactococcus lactis,positive
3564,NC_027339,Shigella,Shigella flexneri,negative
3565,NC_027337,Escherichia,Escherichia coli,negative
3566,NC_027336,Propionibacterium,Propionibacterium acnes,positive
3567,NC_027333,Propionibacterium,Propionibacterium acnes,positive
3568,NC_027332,Acinetobacter,Acinetobacter baumannii,negative
3569,NC_027331,Citrobacter,Citrobacter freundii,negative
3570,NC_027329,Salmonella,Salmonella enterica,positive
3571,NC_027405,Propionibacterium,Propionibacterium acnes,positive
3572,NC_027403,Propionibacterium,Propionibacterium acnes,positive
3573,NC_027401,Propionibacterium,Propionibacterium acnes,positive
3574,NC_027400,Propionibacterium,Propionibacterium acnes,positive
3575,NC_027398,Shigella,Shigella flexneri,negative
3576,NC_027387,Escherichia,Escherichia coli,negative
3577,NC_027371,Propionibacterium,Propionibacterium acnes,positive
3578,NC_027369,Escherichia,Escherichia coli,negative
3579,NC_027368,Vibrio,Vibrio vulnificus,negative
3580,NC_027364,Escherichia,Escherichia coli,negative
3581,NC_027353,Yersinia,Yersinia pestis,negative
3583,NC_027340,Erwinia,Erwinia amylovora,negative
3584,NC_027334,Aurantimonas,Aurantimonas sp.,negative
3585,NC_027330,Escherichia,Escherichia coli,negative
3587,NC_027378,Escherichia,Escherichia coli,negative
3591,NC_027295,Propionibacterium,Propionibacterium acnes,positive
3592,NC_027299,Sulfitobacter,Sulfitobacter sp.,negative
3594,NC_027294,Propionibacterium,Propionibacterium acnes,positive
3596,NC_027293,Citrobacter,Citrobacter freundii,negative
3597,NC_027204,Sinorhizobium,Sinorhizobium meliloti,negative
3599,NC_027120,Lactococcus,Lactococcus lactis,positive
3600,NC_027118,Vibrio,Vibrio cholerae,negative
3601,NC_026609,Lactobacillus,Lactobacillus delbrueckii,positive
3602,NC_026606,Arthrobacter,Arthrobacter sp.,positive
3610,NC_026017,Salmonella,Salmonella paratyphi,positive
3611,NC_026016,Staphylococcus,Staphylococcus aureus,positive
3612,NC_026014,Escherichia,Escherichia coli,negative
3613,NC_026010,Shigella,Shigella flexneri,negative
3614,NC_025830,Escherichia,Escherichia coli,negative
3615,NC_025829,Shigella,Shigella sonnei,negative
3616,NC_025822,Vibrio,Vibrio alginolyticus,negative
3617,NC_023693,Escherichia,Escherichia coli,negative
3618,NC_025453,Enterococcus,Enterococcus faecalis,positive
3619,NC_025446,Escherichia,Escherichia coli,negative
3620,NC_025445,Escherichia,Escherichia coli,negative
3621,NC_025441,Escherichia,Escherichia coli,negative
3622,NC_025437,Shigella,Shigella flexneri,negative
3623,NC_025434,Shigella,Shigella flexneri,negative
3625,NC_025422,Caulobacter,Caulobacter crescentus,negative
3626,NC_025416,Staphylococcus,Staphylococcus aureus,positive
3627,NC_025460,Staphylococcus,Staphylococcus aureus,positive
3628,NC_025452,Dickeya,Dickeya sp.,negative
3629,NC_025425,Escherichia,Escherichia coli,negative
3630,NC_025467,Enterococcus,Enterococcus faecium,positive
3631,NC_025465,Enterococcus,Enterococcus faecalis,positive
3632,NC_025464,Synechococcus,Synechococcus sp.,negative
3633,NC_025462,Acinetobacter,Acinetobacter baumannii,negative
3634,NC_025461,Synechococcus,Synechococcus sp.,negative
3635,NC_025459,Aeromonas,Aeromonas hydrophila,negative
3636,NC_025457,Acinetobacter,Acinetobacter baumannii,negative
3637,NC_025456,Synechococcus,Synechococcus sp.,negative
3638,NC_025455,Synechococcus,Synechococcus sp.,negative
3639,NC_025451,Yersinia,Yersinia enterocolitica,negative
3640,NC_025450,Lelliottia,Lelliottia sp.,negative
3641,NC_025449,Escherichia,Escherichia coli,negative
3642,NC_025443,Salmonella,Salmonella enterica,positive
3643,NC_025431,Mesorhizobium,Mesorhizobium loti,negative
3644,NC_025430,Escherichia,Escherichia coli,negative
3646,NC_025428,Ruegeria,Ruegeria pomeroyi,negative
3648,NC_025426,Staphylococcus,Staphylococcus aureus,positive
3650,NC_025421,Lactobacillus,Lactobacillus delbrueckii,positive
3651,NC_025420,Lactobacillus,Lactobacillus delbrueckii,positive
3652,NC_025415,Lactobacillus,Lactobacillus delbrueckii,positive
3653,NC_024125,Escherichia,Escherichia coli,negative
3654,NC_024369,Vibrio,Vibrio cholerae,negative
3655,NC_025115,Ralstonia,Ralstonia solanacearum,negative
3657,NC_024791,Vibrio,Vibrio cholerae,negative
3658,NC_024787,Listeria,Listeria monocytogenes,positive
3659,NC_024785,Acinetobacter,Acinetobacter baumannii,negative
3661,NC_024392,Listeria,Listeria monocytogenes,positive
3662,NC_024391,Staphylococcus,Staphylococcus aureus,positive
3663,NC_024390,Leuconostoc,Leuconostoc pseudomesenteroides,positive
3664,NC_024389,Leuconostoc,Leuconostoc mesenteroides,positive
3665,NC_024388,Leuconostoc,Leuconostoc mesenteroides,positive
3666,NC_024387,Listeria,Listeria monocytogenes,positive
3667,NC_024386,Leuconostoc,Leuconostoc mesenteroides,positive
3668,NC_024385,Leuconostoc,Leuconostoc pseudomesenteroides,positive
3669,NC_024384,Listeria,Listeria monocytogenes,positive
3670,NC_024383,Listeria,Listeria monocytogenes,positive
3671,NC_024380,Leuconostoc,Leuconostoc pseudomesenteroides,positive
3672,NC_024379,Escherichia,Escherichia coli,negative
3673,NC_024378,Leuconostoc,Leuconostoc mesenteroides,positive
3675,NC_024375,Listeria,Listeria monocytogenes,positive
3676,NC_024367,Dinoroseobacter,Dinoroseobacter shibae,negative
3678,NC_024359,Listeria,Listeria monocytogenes,positive
3679,NC_024358,Anabaena,Anabaena variabilis,negative
3680,NC_024356,Enterococcus,Enterococcus faecium,positive
3681,NC_024355,Staphylococcus,Homo sapiens,positive
3682,NC_024354,Cronobacter,Cronobacter sakazakii,negative
3685,NC_024364,Listeria,Listeria monocytogenes,positive
3687,NC_024360,Listeria,Listeria monocytogenes,positive
3690,NC_023863,Vibrio,Vibrio anguillarum,negative
3691,NC_023558,Cronobacter,Cronobacter turicensis,negative
3692,NC_023595,Enterococcus,Enterococcus faecalis,positive
