,Accession,staining,Genome Length (bp),Jumbophage,molGC (%),Molecule,Number CDS,Positive Strand (%),Negative Strand (%),Coding Capacity (%),tRNAs
908,OQ268095,negative,46710,False,35.185,DNA,72,80.5555555555556,19.4444444444444,92.5305073859987,0
909,OQ031071,negative,49044,False,50.593,DNA,75,24.0,76.0,89.2586249082457,0
910,MW364975,positive,44592,False,34.54,DNA,74,90.5405405405405,9.45945945945946,93.1646932185145,0
911,MW364974,positive,42498,False,34.719,DNA,68,94.1176470588235,5.88235294117647,96.4139488917126,0
912,MW364973,positive,43266,False,34.699,DNA,70,91.4285714285714,8.57142857142857,95.7218138954375,0
913,MW364972,positive,42460,False,34.769,DNA,69,94.2028985507246,5.79710144927536,95.341497880358,0
914,MW364971,positive,42935,False,34.587,DNA,69,94.2028985507246,5.79710144927536,96.3339932456038,0
915,MH844528,positive,150390,False,30.367,DNA,237,72.9957805907173,27.0042194092827,88.8024469712082,4
916,KJ206560,positive,139656,False,30.417,DNA,214,71.0280373831776,28.9719626168224,90.2875637280174,4
917,OP792756,negative,61443,False,61.42,DNA,76,67.1052631578947,32.8947368421053,92.9153849909672,0
918,OQ341635,positive,113775,False,40.33,DNA,160,70.0,30.0,87.8989233135575,29
919,NC_071157,negative,47997,False,47.999,DNA,80,31.25,68.75,91.6244765297831,0
920,NC_071156,negative,46373,False,48.013,DNA,77,66.2337662337662,33.7662337662338,93.6751989304121,0
921,NC_071155,negative,48190,False,47.406,DNA,79,63.2911392405063,36.7088607594937,90.8673998754928,2
922,NC_071154,negative,46100,False,48.156,DNA,73,41.0958904109589,58.9041095890411,92.4577006507592,3
923,NC_071153,negative,46774,False,47.986,DNA,81,61.7283950617284,38.2716049382716,92.8079702398769,0
924,NC_071152,negative,47956,False,47.8,DNA,78,62.8205128205128,37.1794871794872,92.3826007173242,2
925,NC_071151,negative,48258,False,47.677,DNA,83,61.4457831325301,38.5542168674699,93.8269302499068,0
926,NC_071150,negative,48490,False,47.509,DNA,83,61.4457831325301,38.5542168674699,93.9946380697051,2
927,NC_071148,negative,45716,False,48.545,DNA,78,66.6666666666667,33.3333333333333,92.6830868842418,3
928,NC_071147,negative,45696,False,48.56,DNA,78,66.6666666666667,33.3333333333333,86.375175070028,3
929,NC_071146,negative,46218,False,48.297,DNA,84,61.9047619047619,38.0952380952381,93.1476913756545,2
930,NC_071145,negative,47720,False,48.018,DNA,78,60.2564102564103,39.7435897435897,94.394383906119,0
931,NC_071144,negative,48050,False,47.605,DNA,81,40.7407407407407,59.2592592592593,89.309053069719,2
932,NC_071142,negative,46281,False,47.739,DNA,80,66.25,33.75,89.2893411983319,1
933,NC_071141,negative,49371,False,48.701,DNA,80,58.75,41.25,92.8237224281461,0
934,NC_071140,negative,48021,False,48.874,DNA,78,58.974358974359,41.025641025641,94.3837071281314,0
935,NC_071139,negative,48245,False,48.888,DNA,79,58.2278481012658,41.7721518987342,93.8522126645248,0
936,NC_071138,negative,47797,False,48.915,DNA,76,39.4736842105263,60.5263157894737,93.2631755131075,0
937,NC_071136,negative,48837,False,48.535,DNA,73,58.9041095890411,41.0958904109589,92.4135389151668,0
938,NC_071135,negative,47129,False,49.252,DNA,67,64.1791044776119,35.8208955223881,91.6633070932971,0
939,NC_071133,negative,49370,False,48.584,DNA,70,58.5714285714286,41.4285714285714,92.8438322868138,0
940,NC_071132,negative,50707,False,48.133,DNA,81,60.4938271604938,39.5061728395062,92.4783560455164,0
941,NC_071131,negative,48833,False,49.559,DNA,75,37.3333333333333,62.6666666666667,92.0647922511417,0
942,NC_071129,negative,49532,False,48.815,DNA,79,59.4936708860759,40.5063291139241,94.3511265444561,0
943,NC_071128,negative,49169,False,48.437,DNA,82,56.0975609756098,43.9024390243902,93.4125160161891,0
944,NC_071038,positive,110591,False,39.595,DNA,159,70.440251572327,29.559748427673,87.8217938168567,19
945,NC_071037,positive,39433,False,48.416,DNA,47,0.0,100.0,91.4918976491771,0
946,NC_071036,negative,47545,False,63.348,DNA,64,39.0625,60.9375,93.4041434430539,0
947,NC_071021,negative,61860,False,56.279,DNA,102,48.0392156862745,51.9607843137255,94.0252182347236,1
948,NC_071020,negative,61662,False,56.193,DNA,100,48.0,52.0,93.650870876715,1
949,NC_071019,negative,62354,False,56.272,DNA,104,50.9615384615385,49.0384615384615,94.1944382076531,1
950,NC_071018,negative,61427,False,56.5,DNA,94,51.063829787234,48.936170212766,92.2216614843636,3
951,NC_071017,negative,60789,False,56.377,DNA,98,55.1020408163265,44.8979591836735,92.416391123394,1
952,NC_071016,negative,36396,False,44.104,DNA,38,76.3157894736842,23.6842105263158,97.1480382459611,0
953,NC_071015,negative,253740,True,45.455,DNA,262,13.7404580152672,86.2595419847328,94.7300386222117,2
954,NC_071013,positive,56744,False,38.72,DNA,90,84.4444444444444,15.5555555555556,87.1122938107994,0
955,NC_071012,positive,57099,False,38.955,DNA,90,83.3333333333333,16.6666666666667,87.5794672411076,0
956,NC_071011,negative,56858,False,45.675,DNA,97,59.7938144329897,40.2061855670103,92.6430757325267,1
957,NC_071010,positive,86124,False,38.719,DNA,128,75.78125,24.21875,90.4649110584738,22
958,NC_071009,positive,38505,False,50.425,DNA,44,0.0,100.0,90.2376314764316,0
959,NC_071008,negative,44715,False,49.661,DNA,76,73.6842105263158,26.3157894736842,93.9080845353908,0
960,NC_071007,negative,234546,True,36.129,DNA,230,12.6086956521739,87.3913043478261,93.4899763798999,2
961,NC_071002,positive,18058,False,32.96,DNA,25,44.0,56.0,95.425850038764,0
962,NC_070999,negative,235066,True,38.433,DNA,248,85.4838709677419,14.5161290322581,93.9319169935252,4
963,NC_070998,negative,237367,True,38.792,DNA,244,86.0655737704918,13.9344262295082,92.7622626565614,3
964,NC_070993,negative,75809,False,42.103,DNA,118,19.4915254237288,80.5084745762712,89.0421981558918,1
965,NC_070992,negative,79429,False,41.993,DNA,124,19.3548387096774,80.6451612903226,90.0804492062093,1
966,NC_070990,negative,77187,False,42.159,DNA,124,19.3548387096774,80.6451612903226,89.4412271496495,1
967,NC_070989,negative,77359,False,42.155,DNA,123,18.6991869918699,81.3008130081301,89.8007988727879,1
968,NC_070988,negative,76964,False,42.298,DNA,118,20.3389830508475,79.6610169491525,89.4859934514838,1
969,NC_070987,negative,76899,False,42.153,DNA,126,19.047619047619,80.9523809523809,89.2534363255699,1
970,NC_070986,negative,76083,False,42.087,DNA,128,14.84375,85.15625,90.0253670333715,1
971,NC_070985,negative,75646,False,42.1,DNA,122,77.8688524590164,22.1311475409836,89.0582449832113,1
972,NC_070984,negative,75007,False,42.101,DNA,120,20.8333333333333,79.1666666666667,89.2383377551429,1
973,NC_070983,negative,76631,False,41.983,DNA,117,20.5128205128205,79.4871794871795,89.5851548329005,1
974,NC_070982,negative,75747,False,42.018,DNA,113,21.2389380530973,78.7610619469027,88.7810738379078,1
975,NC_070981,negative,78078,False,42.112,DNA,120,79.1666666666667,20.8333333333333,91.7467148236379,1
976,NC_070980,negative,76626,False,42.054,DNA,117,19.6581196581197,80.3418803418803,89.4500561167228,1
977,NC_070979,negative,76622,False,42.531,DNA,123,19.5121951219512,80.4878048780488,89.6661533241106,1
978,NC_070978,negative,112127,False,40.324,DNA,189,15.3439153439153,84.6560846560847,92.6806210814523,4
979,NC_070977,negative,86289,False,42.249,DNA,125,82.4,17.6,91.3859240459387,7
980,NC_070975,negative,90187,False,34.651,DNA,134,18.6567164179104,81.3432835820896,92.3791677292736,4
981,NC_070974,positive,89910,False,44.218,DNA,152,81.5789473684211,18.4210526315789,90.918696474252,9
982,NC_070973,negative,75106,False,44.051,DNA,108,23.1481481481481,76.8518518518518,93.0351769499108,3
983,NC_070965,negative,167040,False,50.076,DNA,244,21.3114754098361,78.6885245901639,93.707495210728,5
984,NC_070964,negative,180224,False,42.424,DNA,214,88.785046728972,11.214953271028,95.1416015625,8
985,NC_070963,negative,240842,True,35.642,DNA,367,96.4577656675749,3.54223433242507,94.3415185059084,12
986,NC_070962,negative,228827,True,36.842,DNA,280,98.2142857142857,1.78571428571429,96.3561992247418,9
987,NC_070961,negative,192454,False,40.994,DNA,226,3.98230088495575,96.0176991150443,95.548027061012,13
988,NC_070960,negative,187320,False,40.32,DNA,204,90.6862745098039,9.31372549019608,95.8653640828529,15
989,NC_070959,negative,167069,False,50.053,DNA,243,21.3991769547325,78.6008230452675,92.3738096235687,1
990,NC_070958,negative,259831,True,47.603,DNA,266,86.0902255639098,13.9097744360902,94.6819278684991,3
991,NC_070957,negative,262372,True,47.521,DNA,267,86.1423220973783,13.8576779026217,94.3965057246962,3
992,NC_070956,negative,260310,True,47.484,DNA,266,86.4661654135338,13.5338345864662,94.7374284506934,4
993,NC_070955,negative,59762,False,65.998,DNA,87,35.632183908046,64.367816091954,91.2519661323249,0
994,NC_070954,negative,44942,False,65.062,DNA,62,61.2903225806452,38.7096774193548,92.479195407414,0
995,NC_070953,negative,38080,False,50.095,DNA,47,36.1702127659575,63.8297872340426,96.7988445378151,0
996,NC_070950,negative,253383,True,43.947,DNA,295,90.5084745762712,9.49152542372881,94.7490557772226,0
997,NC_070949,negative,50485,False,50.859,DNA,82,69.5121951219512,30.4878048780488,91.4231950084183,0
998,NC_070937,negative,182723,False,40.184,DNA,270,85.5555555555556,14.4444444444444,94.743956699485,25
999,NC_070936,negative,253367,True,40.862,DNA,260,85.0,15.0,93.9510670292501,3
1000,NC_070933,negative,41227,False,55.197,DNA,55,52.7272727272727,47.2727272727273,91.774807771606,0
1001,NC_070932,negative,59782,False,56.243,DNA,72,48.6111111111111,51.3888888888889,91.7818072329464,2
1002,NC_070931,negative,41655,False,56.615,DNA,55,94.5454545454545,5.45454545454545,92.2002160604969,0
1003,NC_070920,negative,40166,False,46.798,DNA,61,18.0327868852459,81.9672131147541,85.6694716924762,0
1004,NC_070919,negative,37312,False,58.134,DNA,52,15.3846153846154,84.6153846153846,90.6062392795883,0
1005,NC_070918,negative,32949,False,48.973,DNA,40,77.5,22.5,90.0027314941273,0
1006,NC_070917,negative,29180,False,49.575,DNA,36,80.5555555555556,19.4444444444444,91.6963673749143,0
1007,NC_070916,negative,29546,False,50.609,DNA,40,87.5,12.5,92.1546063764977,0
1008,NC_070915,negative,33247,False,49.701,DNA,45,84.4444444444444,15.5555555555556,90.1073781093031,0
1009,NC_070914,negative,30280,False,51.255,DNA,42,80.9523809523809,19.047619047619,91.0303830911493,0
1010,NC_070913,negative,36481,False,46.367,DNA,45,82.2222222222222,17.7777777777778,90.8281022998273,0
1011,NC_070912,negative,36280,False,64.766,DNA,41,85.3658536585366,14.6341463414634,86.8081587651599,0
1012,NC_070911,positive,29512,False,53.182,DNA,38,89.4736842105263,10.5263157894737,91.2239089184061,0
1013,NC_070910,negative,32867,False,61.286,DNA,40,85.0,15.0,87.5072260930417,0
1014,NC_070908,negative,31962,False,51.74,DNA,40,85.0,15.0,91.8809836681059,0
1015,NC_070902,negative,31564,False,51.384,DNA,40,87.5,12.5,89.4500063363325,0
1016,NC_070890,negative,143349,False,49.44,DNA,217,79.7235023041475,20.2764976958525,92.2566603185233,0
1017,NC_070880,positive,18292,False,29.909,DNA,20,55.0,45.0,94.6479335228515,0
1018,NC_070879,positive,18271,False,29.966,DNA,20,45.0,55.0,94.543265283783,0
1019,NC_070878,positive,16927,False,29.273,DNA,19,42.1052631578947,57.8947368421053,94.6594198617593,0
1020,NC_070876,negative,58966,False,59.672,DNA,74,33.7837837837838,66.2162162162162,96.8897330665129,0
1021,NC_070875,negative,42969,False,55.854,DNA,54,68.5185185185185,31.4814814814815,91.9081198073029,0
1022,NC_070874,negative,72231,False,42.849,DNA,85,23.5294117647059,76.4705882352941,92.9185529758691,1
1023,NC_070873,negative,72444,False,42.643,DNA,87,77.0114942528736,22.9885057471264,92.0283253271492,1
1024,NC_070872,negative,73275,False,42.953,DNA,89,73.0337078651685,26.9662921348315,91.6438075742068,0
1025,NC_070871,negative,74437,False,42.879,DNA,88,23.8636363636364,76.1363636363636,92.409688730067,0
1026,NC_070870,negative,68270,False,43.529,DNA,79,24.0506329113924,75.9493670886076,92.159074263952,1
1027,NC_070868,negative,76332,False,54.855,DNA,88,69.3181818181818,30.6818181818182,92.7710527694807,6
1028,NC_070867,negative,74962,False,54.612,DNA,86,69.7674418604651,30.2325581395349,93.1165123662656,5
1029,NC_070861,negative,76232,False,48.272,DNA,94,75.531914893617,24.468085106383,94.4616434043446,3
1030,NC_070860,negative,73752,False,48.471,DNA,97,79.3814432989691,20.6185567010309,93.6598329536826,2
1031,NC_070859,negative,75871,False,48.958,DNA,84,76.1904761904762,23.8095238095238,94.3074428964954,2
1032,NC_070858,negative,73045,False,49.776,DNA,97,72.1649484536082,27.8350515463918,93.6929290163598,2
1033,NC_070850,negative,72458,False,44.64,DNA,86,77.9069767441861,22.093023255814,95.531204283861,4
1034,NC_070849,negative,70466,False,41.116,DNA,78,26.9230769230769,73.0769230769231,93.2747708114552,10
1035,NC_070848,negative,73099,False,38.477,DNA,100,82.0,18.0,89.5538926661103,4
1036,NC_070847,negative,74717,False,54.33,DNA,90,73.3333333333333,26.6666666666667,94.0053803016716,5
1037,NC_070846,positive,47243,False,45.645,DNA,78,60.2564102564103,39.7435897435897,86.0063924814258,0
1038,NC_070840,negative,57429,False,52.503,DNA,69,100.0,0.0,88.8854063278135,2
1039,NC_070839,negative,177834,False,43.313,DNA,218,0.917431192660551,99.0825688073395,95.8545609950853,6
1040,NC_070826,negative,37211,False,40.534,DNA,65,32.3076923076923,67.6923076923077,90.569992744081,0
1041,NC_070825,negative,37730,False,40.398,DNA,63,68.2539682539683,31.7460317460317,90.1113172541744,0
1042,NC_070824,negative,42261,False,40.631,DNA,66,48.4848484848485,51.5151515151515,88.7839852346135,1
1043,NC_070823,negative,45306,False,40.147,DNA,69,55.0724637681159,44.9275362318841,92.6433584955635,0
1044,NC_070822,negative,39940,False,40.188,DNA,57,54.3859649122807,45.6140350877193,88.3850776164246,0
1045,NC_070820,negative,35330,False,44.874,DNA,51,3.92156862745098,96.078431372549,94.5174073025757,0
1046,NC_070780,negative,170318,False,40.147,DNA,290,14.8275862068966,85.1724137931035,94.308293897298,2
1047,NC_070778,negative,173871,False,40.022,DNA,297,14.1414141414141,85.8585858585859,94.6247505334415,8
1048,NC_070777,negative,172763,False,39.97,DNA,290,14.8275862068966,85.1724137931035,94.6539478939356,8
1049,NC_070776,negative,174783,False,40.019,DNA,292,15.4109589041096,84.5890410958904,94.4800123581813,7
1050,NC_070775,positive,42563,False,63.652,DNA,74,89.1891891891892,10.8108108108108,90.3390268543101,0
1051,NC_070774,negative,40065,False,42.998,DNA,70,100.0,0.0,99.0715087982029,0
1052,NC_070773,negative,44507,False,43.128,DNA,75,30.6666666666667,69.3333333333333,92.7157525782461,0
1053,NC_070772,negative,45171,False,42.591,DNA,79,70.8860759493671,29.1139240506329,92.5084678222753,3
1054,NC_070761,positive,103424,False,53.372,DNA,121,33.0578512396694,66.9421487603306,89.3129254331683,17
1055,NC_070759,negative,40808,False,55.239,DNA,54,83.3333333333333,16.6666666666667,92.3421878063125,0
1056,NC_070758,negative,43859,False,47.224,DNA,49,0.0,100.0,93.3195011286167,0
1057,NC_070727,positive,42706,False,34.166,DNA,64,90.625,9.375,95.9654381117407,0
1058,NC_069751,negative,42887,False,53.711,DNA,53,83.0188679245283,16.9811320754717,91.7340919159652,0
1059,NC_069745,negative,43553,False,54.423,DNA,52,84.6153846153846,15.3846153846154,93.3345578949785,1
1060,NC_069744,negative,43314,False,54.571,DNA,54,85.1851851851852,14.8148148148148,93.4409197949855,1
1061,OQ243220,negative,46647,False,51.262,DNA,65,75.3846153846154,24.6153846153846,89.8750187579051,3
1062,OP856857,positive,136673,False,30.015,DNA,188,21.8085106382979,78.1914893617021,87.6317926730225,0
1063,OQ101259,negative,53751,False,39.947,DNA,71,80.2816901408451,19.7183098591549,92.5266506669643,0
1064,OQ101258,negative,51595,False,39.975,DNA,64,81.25,18.75,90.9060955518946,0
1065,OQ101257,negative,60424,False,40.006,DNA,82,80.4878048780488,19.5121951219512,92.2431484178472,0
1066,OQ101256,negative,54941,False,40.012,DNA,75,81.3333333333333,18.6666666666667,92.6684989352214,0
1067,OQ101255,negative,55385,False,40.032,DNA,73,80.8219178082192,19.1780821917808,92.5539405976347,0
1068,OQ101254,negative,67052,False,40.272,DNA,95,84.2105263157895,15.7894736842105,92.8026009664141,0
1069,OQ101253,negative,32415,False,39.429,DNA,54,92.5925925925926,7.40740740740741,91.3558537714021,0
1070,OQ101251,negative,42776,False,39.319,DNA,50,100.0,0.0,92.8768468299981,0
1071,OQ101250,negative,50696,False,38.893,DNA,77,79.2207792207792,20.7792207792208,89.8552154016096,0
1072,OP785155,negative,50419,False,50.907,DNA,78,71.7948717948718,28.2051282051282,90.8764553045479,0
1073,MZ333462,positive,149913,False,37.002,DNA,196,41.8367346938776,58.1632653061224,89.7927464596132,24
1074,MZ374361,negative,49532,False,48.815,DNA,79,59.4936708860759,40.5063291139241,94.3511265444561,0
1075,AP019521,negative,172558,False,39.603,DNA,275,16.7272727272727,83.2727272727273,95.2891201798816,2
1076,LC742552,positive,17560,False,33.24,DNA,21,90.4761904761905,9.52380952380952,96.4407744874715,0
1077,OQ221563,negative,44487,False,54.634,DNA,58,41.3793103448276,58.6206896551724,91.8605435295704,0
1078,OQ135105,negative,46147,False,64.451,DNA,55,45.4545454545455,54.5454545454545,96.2532775695061,0
1079,OQ135104,negative,43647,False,59.947,DNA,46,100.0,0.0,92.3431163653859,0
1080,OQ135106,negative,62366,False,63.77,DNA,104,50.0,50.0,91.3574704165731,0
1081,OQ135103,negative,44304,False,61.333,DNA,49,97.9591836734694,2.04081632653061,92.7478331527627,0
1082,OQ135102,negative,44961,False,61.589,DNA,52,100.0,0.0,91.9596984052846,0
1083,OQ079156,negative,126535,False,40.236,DNA,182,71.978021978022,28.021978021978,88.213537756352,22
1084,OQ079155,negative,42365,False,45.198,DNA,53,49.0566037735849,50.9433962264151,82.100790747079,0
1085,OQ079154,negative,42372,False,45.188,DNA,53,49.0566037735849,50.9433962264151,82.0872274143302,0
1086,OQ079153,negative,42375,False,45.182,DNA,53,49.0566037735849,50.9433962264151,82.0814159292035,0
1087,OP748252,negative,41356,False,46.402,DNA,56,66.0714285714286,33.9285714285714,92.2453815649483,1
1088,OP748251,negative,41569,False,46.472,DNA,58,34.4827586206897,65.5172413793103,93.966657845991,1
1089,OP256047,negative,40757,False,53.132,DNA,49,0.0,100.0,91.4861250828079,0
1090,NC_061450,negative,267169,True,48.857,DNA,345,57.1014492753623,42.8985507246377,95.3295479640228,0
1091,OP595602,negative,77632,False,48.895,DNA,105,0.0,100.0,90.5193734542457,0
1092,KY703222,negative,186570,False,37.626,DNA,280,19.2857142857143,80.7142857142857,94.7456718657876,2
1093,OQ137562,negative,45177,False,64.331,DNA,55,45.4545454545455,54.5454545454545,94.1363968390995,0
1094,OQ137561,negative,62367,False,63.769,DNA,104,50.0,50.0,91.356005579874,0
1095,OQ137560,negative,44702,False,61.581,DNA,52,100.0,0.0,92.6401503288444,0
1096,OQ137559,negative,44310,False,61.336,DNA,49,100.0,0.0,92.2274881516588,0
1097,OQ174502,negative,167921,False,35.39,DNA,266,15.4135338345865,84.5864661654135,92.7406339886018,10
1098,OM687510,positive,47749,False,33.984,DNA,71,9.85915492957746,90.1408450704225,93.721334478209,0
1099,OM687509,positive,46448,False,33.56,DNA,74,9.45945945945946,90.5405405405405,92.6261625904237,0
1100,OM687508,positive,33683,False,33.052,DNA,42,19.047619047619,80.9523809523809,91.2834367485082,0
1101,OM687507,positive,44558,False,33.826,DNA,69,91.304347826087,8.69565217391304,93.5387584721038,0
1102,OM621929,positive,17529,False,34.805,DNA,14,0.0,100.0,92.1786753380113,0
1103,OM621924,positive,10647,False,33.502,DNA,14,0.0,100.0,91.4060298675683,0
1104,OM621923,positive,16005,False,34.377,DNA,13,15.3846153846154,84.6153846153846,97.0009372071228,0
1105,OQ025560,negative,32696,False,41.268,DNA,44,15.9090909090909,84.0909090909091,91.2955713237093,0
1106,OQ174511,negative,85751,False,39.018,DNA,118,27.1186440677966,72.8813559322034,88.1599048407599,23
1107,OQ174510,negative,85745,False,39.029,DNA,117,72.6495726495726,27.3504273504274,87.6867455828328,23
1108,OQ174509,negative,85745,False,39.029,DNA,118,72.8813559322034,27.1186440677966,88.1590763309814,23
1109,OQ174508,negative,85751,False,39.03,DNA,118,72.8813559322034,27.1186440677966,88.1599048407599,23
1110,OQ174507,negative,85750,False,39.033,DNA,118,72.8813559322034,27.1186440677966,88.1609329446064,23
1111,OQ174506,negative,88978,False,38.886,DNA,125,26.4,73.6,86.4966620962485,25
1112,OQ174505,negative,87152,False,38.899,DNA,123,26.8292682926829,73.1707317073171,86.226363135671,25
1113,OQ174504,negative,88905,False,38.874,DNA,125,26.4,73.6,86.4360834598729,25
1114,OQ174503,negative,166772,False,35.552,DNA,268,15.2985074626866,84.7014925373134,94.6675700956995,11
1115,OQ174501,negative,167921,False,35.389,DNA,267,84.2696629213483,15.7303370786517,94.5861446751746,10
1116,OQ174500,negative,167414,False,35.406,DNA,266,84.2105263157895,15.7894736842105,93.9437561972117,10
1117,OP869846,positive,41877,False,44.487,DNA,57,87.719298245614,12.280701754386,91.5968192563937,0
1118,OL539729,positive,39849,False,50.295,DNA,49,100.0,0.0,91.5455845817963,0
1119,OL773677,positive,39849,False,50.297,DNA,49,100.0,0.0,91.5455845817963,0
1120,OL773676,positive,39829,False,50.298,DNA,49,100.0,0.0,91.0718320821512,0
1121,OQ067478,negative,45327,False,47.614,DNA,53,41.5094339622642,58.4905660377358,94.4536369051559,0
1122,OQ067477,negative,82794,False,56.997,DNA,116,23.2758620689655,76.7241379310345,92.0284078556417,0
1123,OQ067476,negative,43813,False,63.591,DNA,61,36.0655737704918,63.9344262295082,92.3766918494511,0
1124,OP292674,positive,46635,False,42.249,DNA,72,25.0,75.0,86.7417175940817,0
1125,OP292673,positive,48162,False,42.251,DNA,73,24.6575342465753,75.3424657534247,87.1309331007848,0
1126,MZ333456,positive,39221,False,35.091,DNA,59,8.47457627118644,91.5254237288136,91.5453456056704,1
1127,OP328422,positive,49642,False,33.369,DNA,69,85.5072463768116,14.4927536231884,93.6344224648483,0
1128,OP328423,positive,44629,False,33.386,DNA,63,88.8888888888889,11.1111111111111,92.3816352595846,0
1129,OP328421,positive,17124,False,32.206,DNA,24,62.5,37.5,89.3482831114226,0
1130,OP328420,positive,45914,False,33.123,DNA,63,88.8888888888889,11.1111111111111,93.6577078886614,0
1131,OP038319,positive,44811,False,33.449,DNA,70,88.5714285714286,11.4285714285714,94.6441721898641,0
1132,MG029515,positive,45164,False,33.257,DNA,63,87.3015873015873,12.6984126984127,94.0970684616066,0
1133,MF580410,positive,45585,False,33.281,DNA,61,88.5245901639344,11.4754098360656,94.2086212569924,0
1134,MZ923531,positive,39732,False,50.34,DNA,49,100.0,0.0,91.8151615826034,0
1135,OP750331,positive,34645,False,37.685,DNA,50,100.0,0.0,93.8836772983114,1
1136,OP626794,negative,40924,False,52.974,DNA,50,2.0,98.0,88.3491349819177,0
1137,OQ095919,negative,127182,False,40.212,DNA,181,71.8232044198895,28.1767955801105,87.9141702442169,22
1138,OQ095918,negative,128276,False,40.154,DNA,188,71.8085106382979,28.1914893617021,88.0382924319436,22
1139,OQ095917,negative,127945,False,40.3,DNA,179,75.4189944134078,24.5810055865922,88.3340497870179,22
1140,OQ095916,negative,128785,False,40.175,DNA,186,76.3440860215054,23.6559139784946,88.6648289785301,22
1141,OQ095915,negative,128451,False,40.303,DNA,186,74.1935483870968,25.8064516129032,88.1417816910729,24
1142,ON153212,positive,138528,False,30.527,DNA,213,74.6478873239437,25.3521126760563,89.6952240702241,3
1143,CP115737,negative,41923,False,52.861,DNA,64,75.0,25.0,94.2871454810009,1
1144,OP484858,negative,64155,False,59.4,DNA,99,80.8080808080808,19.1919191919192,91.3506351804224,1
1145,OP484857,negative,61037,False,59.225,DNA,93,78.494623655914,21.505376344086,90.898962924128,0
1146,ON529533,negative,103593,False,38.443,DNA,131,70.9923664122137,29.0076335877863,86.1062040871487,23
1147,ON529532,negative,58619,False,46.903,DNA,62,25.8064516129032,74.1935483870968,90.068066667804,0
1148,OQ181210,negative,75599,False,48.018,DNA,85,75.2941176470588,24.7058823529412,95.8253416050477,7
1149,OP807346,positive,43914,False,45.077,DNA,64,9.375,90.625,91.4674135810903,0
1150,OP807345,positive,38073,False,45.746,DNA,58,8.62068965517241,91.3793103448276,94.3345678039556,0
1151,OP807344,positive,41371,False,44.609,DNA,58,17.2413793103448,82.7586206896552,77.9459041357473,0
1152,OP807343,positive,41308,False,44.432,DNA,55,89.0909090909091,10.9090909090909,93.2507020431878,0
1153,OP807342,positive,31327,False,46.251,DNA,44,0.0,100.0,95.0936891499346,0
1154,OP807341,positive,40496,False,44.432,DNA,55,9.09090909090909,90.9090909090909,92.4239431054919,0
1155,OQ164647,negative,246348,True,42.601,DNA,385,83.8961038961039,16.1038961038961,93.2623768002988,27
1156,OP797663,negative,61291,False,49.743,DNA,85,63.5294117647059,36.4705882352941,89.0277528511527,3
1157,MW435566,negative,45966,False,61.269,DNA,73,38.3561643835616,61.6438356164384,93.5909150241483,0
1158,OP948730,negative,44497,False,52.471,DNA,62,45.1612903225806,54.8387096774194,91.691574712902,0
1159,MK637516,negative,68531,False,52.541,DNA,126,90.4761904761905,9.52380952380952,94.6345449504604,0
1160,OQ032511,negative,79638,False,38.676,DNA,92,23.9130434782609,76.0869565217391,93.0347321630377,4
1161,NC_068555,negative,76339,False,44.247,DNA,98,76.530612244898,23.469387755102,94.6632782719187,6
1162,NC_062763,negative,75181,False,56.711,DNA,109,33.9449541284404,66.0550458715596,88.8083425333528,2
1163,NC_062762,negative,36603,False,60.793,DNA,67,98.5074626865672,1.49253731343284,94.107040406524,0
1164,NC_062761,negative,35270,False,64.278,DNA,68,80.8823529411765,19.1176470588235,91.582081088744,0
1165,NC_062760,negative,56593,False,62.022,DNA,92,41.304347826087,58.695652173913,86.2456487551464,1
1166,NC_062759,negative,61934,False,55.85,DNA,96,37.5,62.5,89.7148577518003,1
1167,NC_062758,negative,76759,False,56.653,DNA,113,33.6283185840708,66.3716814159292,87.4373037689391,5
1168,NC_062757,negative,42293,False,51.063,DNA,70,74.2857142857143,25.7142857142857,90.5208899817937,1
1169,NC_062756,negative,63301,False,49.713,DNA,102,59.8039215686275,40.1960784313725,83.0618789592582,3
1170,NC_062755,negative,76821,False,56.978,DNA,117,38.4615384615385,61.5384615384615,88.4692987594538,2
1171,NC_062754,negative,39649,False,35.391,DNA,63,82.5396825396825,17.4603174603175,93.4298469066055,0
1172,NC_062753,negative,53385,False,31.516,DNA,98,89.7959183673469,10.2040816326531,92.7732509131779,0
1173,NC_062752,negative,124169,False,36.296,DNA,199,100.0,0.0,95.1590171459865,0
1174,NC_062751,negative,124695,False,36.229,DNA,204,100.0,0.0,95.5250811981234,0
1175,NC_062750,negative,37547,False,29.664,DNA,50,94.0,6.0,92.0286574160386,0
1176,NC_062749,negative,42624,False,32.24,DNA,50,94.0,6.0,93.8555743243243,0
1177,NC_062747,negative,78833,False,30.411,DNA,119,89.0756302521009,10.9243697478992,91.8244897441427,8
1178,NC_062746,negative,43978,False,28.876,DNA,65,96.9230769230769,3.07692307692308,93.844649597526,0
1179,NC_062745,negative,47186,False,28.818,DNA,76,98.6842105263158,1.31578947368421,91.0185224430975,0
1180,NC_062744,negative,72979,False,38.108,DNA,91,63.7362637362637,36.2637362637363,89.0626070513435,20
1181,NC_062740,negative,74196,False,57.027,DNA,119,35.2941176470588,64.7058823529412,90.4738799935306,3
