Accession,staining,Genome Length (bp),Jumbophage,molGC (%),Number CDS,Positive Strand (%),Negative Strand (%),Coding Capacity (%),tRNAs,Molecule_DNA,Molecule_RNA,Molecule_ss-DNA,Molecule_ss-RNA
NC_048704,negative,74509,False,48.701,94,20.2127659574468,79.7872340425532,94.1845951495792,0,True,False,False,False
NC_048701,positive,40847,False,36.769,60,23.3333333333333,76.6666666666667,91.4901951183685,0,True,False,False,False
NC_048700,negative,73679,False,44.201,94,78.7234042553192,21.2765957446809,92.7754176902509,3,True,False,False,False
NC_048694,negative,170764,False,40.783,291,84.8797250859106,15.1202749140893,95.1980511114755,7,True,False,False,False
NC_048683,positive,59715,False,56.711,71,66.1971830985916,33.8028169014084,92.9716151720673,0,True,False,False,False
NC_048682,negative,145759,False,44.548,245,36.3265306122449,63.6734693877551,89.8366481658079,21,True,False,False,False
NC_048681,positive,38576,False,33.241,52,90.3846153846154,9.61538461538462,92.8245541269183,0,True,False,False,False
NC_048680,positive,44260,False,44.781,65,95.3846153846154,4.61538461538462,93.3077270673294,0,True,False,False,False
NC_048679,negative,47866,False,37.285,79,100.0,0.0,96.9143024276104,0,True,False,False,False
NC_048678,negative,48288,False,37.312,83,100.0,0.0,98.1051192842942,0,True,False,False,False
NC_048677,positive,145162,False,34.112,187,69.5187165775401,30.4812834224599,89.1486752731431,14,True,False,False,False
NC_048674,negative,230024,True,38.657,413,85.2300242130751,14.7699757869249,93.0402914478489,10,True,False,False,False
NC_048673,negative,229929,True,38.717,411,86.1313868613139,13.8686131386861,94.4404577065094,10,True,False,False,False
NC_048670,negative,59100,False,56.301,79,56.9620253164557,43.0379746835443,94.6040609137056,0,True,False,False,False
NC_048668,negative,276025,True,46.793,356,89.6067415730337,10.3932584269663,91.9202970745403,1,True,False,False,False
NC_048024,negative,49292,False,50.665,73,76.7123287671233,23.2876712328767,90.7997240931591,0,True,False,False,False
NC_048208,negative,46553,False,43.568,74,78.3783783783784,21.6216216216216,88.9695615749791,1,True,False,False,False
NC_048198,negative,47116,False,50.405,78,61.5384615384615,38.4615384615385,90.5806944562357,0,True,False,False,False
NC_048197,negative,46835,False,50.844,77,66.2337662337662,33.7662337662338,90.2914487028931,0,True,False,False,False
NC_048190,negative,84608,False,38.247,143,47.5524475524476,52.4475524475524,89.4572617246596,1,True,False,False,False
NC_048189,negative,80342,False,38.227,129,50.3875968992248,49.6124031007752,87.7025715068084,1,True,False,False,False
NC_048182,negative,276734,True,43.173,284,86.6197183098592,13.3802816901408,95.1476869484776,1,True,False,False,False
NC_048181,negative,44851,False,50.342,73,68.4931506849315,31.5068493150685,92.7671623821096,0,True,False,False,False
NC_048180,negative,40058,False,48.405,45,0.0,100.0,90.334015677268,0,True,False,False,False
NC_048179,positive,53965,False,45.843,76,52.6315789473684,47.3684210526316,91.7261187806912,0,True,False,False,False
NC_048178,negative,41912,False,59.973,61,29.5081967213115,70.4918032786885,92.5796907806833,0,True,False,False,False
NC_048177,negative,42291,False,54.633,53,100.0,0.0,93.5660069518337,0,True,False,False,False
NC_048175,negative,40599,False,53.267,46,100.0,0.0,91.8347742555235,0,True,False,False,False
NC_048174,negative,43630,False,54.082,56,98.2142857142857,1.78571428571429,93.8711895484758,0,True,False,False,False
NC_048172,negative,43264,False,51.456,54,0.0,100.0,93.5627773668639,0,True,False,False,False
NC_048171,negative,45424,False,42.059,58,0.0,100.0,95.6851003874604,0,True,False,False,False
NC_048170,negative,237307,True,46.53,246,12.6016260162602,87.3983739837398,93.080692942054,0,True,False,False,False
NC_048167,negative,43264,False,48.74,48,100.0,0.0,94.7970599112426,0,True,False,False,False
NC_048164,negative,32448,False,48.305,46,100.0,0.0,85.0499260355029,0,True,False,False,False
NC_048162,negative,49427,False,50.169,75,24.0,76.0,90.1996884294009,0,True,False,False,False
NC_048161,negative,39695,False,53.183,49,97.9591836734694,2.04081632653061,91.2885753873284,0,True,False,False,False
NC_048159,positive,17034,False,28.966,19,57.8947368421053,42.1052631578947,93.7654103557591,0,True,False,False,False
NC_048158,negative,9368,False,55.209,15,53.3333333333333,46.6666666666667,90.6596925704526,0,True,False,False,False
NC_048157,negative,9296,False,55.669,13,61.5384615384615,38.4615384615385,87.9087779690189,0,True,False,False,False
NC_048156,negative,9944,False,55.31,16,50.0,50.0,91.2610619469027,0,True,False,False,False
NC_048151,negative,113760,False,43.836,162,79.0123456790123,20.9876543209877,86.1260548523207,17,True,False,False,False
NC_048150,negative,50414,False,45.656,87,77.0114942528736,22.9885057471264,74.5447693101123,0,True,False,False,False
NC_048149,positive,112496,False,39.969,164,28.6585365853659,71.3414634146341,86.9008675864031,30,True,False,False,False
NC_048145,positive,110377,False,40.045,159,28.3018867924528,71.6981132075472,86.9610516683729,29,True,False,False,False
NC_048143,negative,49106,False,50.89,77,22.0779220779221,77.9220779220779,89.7446340569381,0,True,False,False,False
NC_048142,negative,40898,False,39.359,49,95.9183673469388,4.08163265306122,87.8038045870214,0,True,False,False,False
NC_048138,negative,40352,False,53.142,48,100.0,0.0,92.0772204599524,0,True,False,False,False
NC_048137,negative,51170,False,47.645,78,78.2051282051282,21.7948717948718,89.484072698847,0,True,False,False,False
NC_048136,negative,39793,False,52.19,50,100.0,0.0,91.3426984645541,0,True,False,False,False
NC_048135,negative,39767,False,51.751,50,98.0,2.0,88.6941433852189,0,True,False,False,False
NC_048134,positive,142567,False,36.623,182,69.7802197802198,30.2197802197802,82.5773145258019,8,True,False,False,False
NC_048133,negative,30791,False,56.78,31,3.2258064516129,96.7741935483871,97.3044071319541,0,True,False,False,False
NC_048131,negative,41059,False,53.491,47,100.0,0.0,91.9749628583258,0,True,False,False,False
NC_048130,negative,41219,False,52.944,53,100.0,0.0,92.047356801475,0,True,False,False,False
NC_048129,negative,40236,False,52.843,48,100.0,0.0,91.2242767670743,0,True,False,False,False
NC_048126,negative,49861,False,50.452,72,70.8333333333333,29.1666666666667,89.8297266400594,0,True,False,False,False
NC_048120,negative,43724,False,48.998,57,98.2456140350877,1.75438596491228,92.8048668923246,0,True,False,False,False
NC_048119,negative,43825,False,48.634,59,1.69491525423729,98.3050847457627,94.2681118083286,0,True,False,False,False
NC_048118,negative,43402,False,49.023,54,0.0,100.0,94.1915119118935,0,True,False,False,False
NC_048117,negative,44013,False,48.915,56,0.0,100.0,90.900415786245,0,True,False,False,False
NC_048116,negative,43310,False,49.192,56,3.57142857142857,96.4285714285714,95.0912029554376,0,True,False,False,False
NC_048114,negative,40539,False,52.803,49,100.0,0.0,91.2824687338119,0,True,False,False,False
NC_048113,positive,41126,False,59.466,59,28.8135593220339,71.1864406779661,94.3709575451053,0,True,False,False,False
NC_048112,negative,42042,False,55.82,61,36.0655737704918,63.9344262295082,93.0997573854717,0,True,False,False,False
NC_048111,negative,41823,False,51.455,48,100.0,0.0,93.3075102216484,0,True,False,False,False
NC_048110,positive,111851,False,40.013,164,26.8292682926829,73.1707317073171,87.5933161080366,28,True,False,False,False
NC_048108,negative,39648,False,48.736,46,0.0,100.0,90.534200968523,0,True,False,False,False
NC_048107,positive,17700,False,29.362,20,45.0,55.0,92.7966101694915,0,True,False,False,False
NC_048106,negative,139069,False,51.623,182,96.7032967032967,3.2967032967033,89.2686364322746,36,True,False,False,False
NC_048105,positive,39688,False,48.72,43,0.0,100.0,89.2410804273332,0,True,False,False,False
NC_048102,negative,158485,False,39.946,192,97.9166666666667,2.08333333333333,95.1307694734517,2,True,False,False,False
NC_048089,positive,114275,False,40.118,163,70.5521472392638,29.4478527607362,87.5738350470357,29,True,False,False,False
NC_048088,negative,48195,False,50.109,75,18.6666666666667,81.3333333333333,90.7314036725801,0,True,False,False,False
NC_048086,negative,104410,False,38.512,142,29.5774647887324,70.4225352112676,87.382434632698,23,True,False,False,False
NC_048085,positive,140527,False,36.525,172,70.9302325581395,29.0697674418605,87.2074405630235,9,True,False,False,False
NC_048084,positive,137973,False,36.505,173,69.9421965317919,30.0578034682081,87.6787487406956,9,True,False,False,False
NC_048082,negative,38396,False,49.065,46,100.0,0.0,90.9157203875404,0,True,False,False,False
NC_048081,negative,42067,False,39.285,50,100.0,0.0,91.9033922076687,0,True,False,False,False
NC_048080,negative,102789,False,37.207,165,86.0606060606061,13.9393939393939,90.4766074190818,11,True,False,False,False
NC_048079,negative,39551,False,48.815,51,100.0,0.0,91.8484994058304,0,True,False,False,False
NC_048078,negative,39266,False,48.615,49,100.0,0.0,92.0185402129068,0,True,False,False,False
NC_048077,negative,255356,True,44.47,322,58.0745341614907,41.9254658385093,95.0155860837419,0,True,False,False,False
NC_048076,negative,42330,False,39.135,51,100.0,0.0,92.1474131821403,0,True,False,False,False
NC_048075,negative,104354,False,37.182,173,86.1271676300578,13.8728323699422,91.2394350000958,11,True,False,False,False
NC_048074,negative,103628,False,37.186,168,85.7142857142857,14.2857142857143,91.2330644227429,12,True,False,False,False
NC_048073,negative,68472,False,46.117,98,35.7142857142857,64.2857142857143,91.4344549596916,0,True,False,False,False
NC_048071,negative,40060,False,53.19,50,98.0,2.0,92.2541188217673,0,True,False,False,False
NC_048067,negative,41775,False,55.43,58,32.7586206896552,67.2413793103448,93.4219030520646,0,True,False,False,False
NC_048065,negative,49665,False,42.811,84,77.3809523809524,22.6190476190476,90.0392630625189,0,True,False,False,False
NC_048064,negative,45185,False,45.072,53,100.0,0.0,92.2474272435543,0,True,False,False,False
NC_048063,negative,39382,False,50.34,48,100.0,0.0,90.8943172007516,0,True,False,False,False
NC_048062,positive,114274,False,40.214,159,30.8176100628931,69.1823899371069,87.6918634160001,29,True,False,False,False
NC_048061,negative,42818,False,48.996,54,98.1481481481482,1.85185185185185,95.4411696015694,0,True,False,False,False
NC_048060,negative,40651,False,48.11,51,100.0,0.0,93.6360729133355,0,True,False,False,False
NC_048059,negative,40729,False,48.214,51,100.0,0.0,93.8839647425667,0,True,False,False,False
NC_048058,negative,43686,False,48.659,57,98.2456140350877,1.75438596491228,95.2822414503502,0,True,False,False,False
NC_048057,negative,40441,False,48.038,50,100.0,0.0,93.9739373408175,0,True,False,False,False
NC_048056,negative,44364,False,48.808,58,98.2758620689655,1.72413793103448,94.9553692182851,0,True,False,False,False
NC_048054,negative,261658,True,49.366,331,54.9848942598187,45.0151057401813,95.2804806273838,0,True,False,False,False
NC_048053,negative,253323,True,43.843,322,57.7639751552795,42.2360248447205,95.0178230954157,0,True,False,False,False
NC_048052,negative,40131,False,51.451,49,100.0,0.0,92.2179860955371,0,True,False,False,False
NC_048049,negative,181082,False,38.927,236,3.8135593220339,96.1864406779661,94.2843573629626,7,True,False,False,False
NC_048047,negative,322272,True,63.679,563,81.7051509769094,18.2948490230906,90.4363394896237,28,True,False,False,False
NC_048046,negative,308141,True,62.242,491,69.6537678207739,30.3462321792261,89.2607604960067,29,True,False,False,False
NC_048045,negative,220934,True,65.687,344,66.8604651162791,33.1395348837209,91.7866874270144,25,True,False,False,False
NC_048044,negative,49468,False,51.043,75,77.3333333333333,22.6666666666667,90.6586075847012,0,True,False,False,False
NC_048043,negative,50132,False,50.786,78,78.2051282051282,21.7948717948718,91.1274236016915,0,True,False,False,False
NC_048042,negative,49344,False,51.092,76,77.6315789473684,22.3684210526316,91.0323443579767,0,True,False,False,False
NC_048041,negative,112106,False,43.65,164,20.7317073170732,79.2682926829268,87.3057641874654,19,True,False,False,False
NC_048037,negative,37311,False,35.802,62,54.8387096774194,45.1612903225806,93.7766342365522,0,True,False,False,False
NC_048036,negative,43571,False,49.482,50,100.0,0.0,94.0809253861513,0,True,False,False,False
NC_048035,negative,43237,False,49.49,48,100.0,0.0,94.6619793232648,0,True,False,False,False
NC_048025,negative,40387,False,52.41,51,1.96078431372549,98.0392156862745,89.5832817490777,0,True,False,False,False
NC_048022,positive,30930,False,51.3,44,100.0,0.0,92.5800193986421,0,True,False,False,False
NC_048014,negative,39906,False,52.767,50,100.0,0.0,92.9559464742144,0,True,False,False,False
NC_048013,positive,112564,False,40.119,154,70.7792207792208,29.2207792207792,85.2848157492626,27,True,False,False,False
NC_048012,positive,111447,False,39.985,161,70.1863354037267,29.8136645962733,86.4392940141951,28,True,False,False,False
NC_048011,positive,110926,False,40.061,159,70.440251572327,29.559748427673,86.8669202892018,30,True,False,False,False
NC_048010,positive,116832,False,39.944,163,69.3251533742331,30.6748466257669,86.5636127088469,28,True,False,False,False
NC_048009,positive,110091,False,39.216,157,68.7898089171974,31.2101910828025,87.3268477895559,23,True,False,False,False
NC_048008,positive,111999,False,40.1,161,69.5652173913043,30.4347826086957,86.6284520397504,28,True,False,False,False
NC_048007,positive,110664,False,40.085,158,71.5189873417722,28.4810126582279,86.5837128605509,28,True,False,False,False
NC_048006,positive,110926,False,40.062,159,70.440251572327,29.559748427673,86.8669202892018,30,True,False,False,False
NC_048005,positive,112582,False,39.96,164,73.1707317073171,26.8292682926829,86.8273791547494,26,True,False,False,False
NC_048004,positive,38821,False,49.254,48,100.0,0.0,89.1012596275212,0,True,False,False,False
NC_048002,negative,39883,False,50.535,48,0.0,100.0,90.060928215029,0,True,False,False,False
NC_048001,positive,109306,False,39.022,156,33.3333333333333,66.6666666666667,86.4975390189011,15,True,False,False,False
NC_048000,positive,111601,False,40.078,161,31.6770186335404,68.3229813664596,87.8612198815423,25,True,False,False,False
NC_047999,positive,111607,False,40.145,162,70.9876543209877,29.0123456790123,87.0742874550879,28,True,False,False,False
NC_047998,negative,50403,False,45.202,76,23.6842105263158,76.3157894736842,87.5186000833284,0,True,False,False,False
NC_047996,negative,49372,False,45.258,75,77.3333333333333,22.6666666666667,88.9269221421048,0,True,False,False,False
NC_047984,negative,39825,False,48.806,46,0.0,100.0,90.4256120527307,0,True,False,False,False
NC_047983,positive,43416,False,41.738,63,11.1111111111111,88.8888888888889,89.0547263681592,0,True,False,False,False
NC_047982,negative,39628,False,61.555,45,100.0,0.0,91.9274250529928,0,True,False,False,False
NC_047978,negative,54065,False,43.649,79,100.0,0.0,88.2437806344215,0,True,False,False,False
NC_047966,negative,42696,False,54.897,51,1.96078431372549,98.0392156862745,93.3740865654862,0,True,False,False,False
NC_047964,negative,39699,False,50.986,46,100.0,0.0,91.6194362578402,0,True,False,False,False
NC_047963,negative,40552,False,50.094,48,100.0,0.0,91.3123890313671,0,True,False,False,False
NC_047962,negative,61939,False,52.356,80,46.25,53.75,89.5025751142253,0,True,False,False,False
NC_047961,negative,40484,False,48.113,50,100.0,0.0,93.6147613872147,0,True,False,False,False
NC_047960,negative,50048,False,49.706,87,78.1609195402299,21.8390804597701,90.8427909207161,0,True,False,False,False
NC_047959,negative,50354,False,45.615,79,21.5189873417722,78.4810126582278,89.7009175040712,0,True,False,False,False
NC_047950,negative,115739,False,43.82,150,28.6666666666667,71.3333333333333,57.4283517224099,33,True,False,False,False
NC_047949,negative,112558,False,43.861,159,23.8993710691824,76.1006289308176,58.9287300769381,18,True,False,False,False
NC_047948,positive,149229,False,29.608,221,67.420814479638,32.579185520362,86.6574191343506,1,True,False,False,False
NC_047947,positive,51818,False,43.359,86,27.906976744186,72.0930232558139,91.0918985680652,0,True,False,False,False
NC_047946,negative,41297,False,58.97,50,100.0,0.0,87.3186914303702,0,True,False,False,False
NC_047945,positive,142978,False,29.799,211,71.0900473933649,28.9099526066351,86.3839192043531,1,True,False,False,False
NC_047944,negative,45135,False,53.663,60,98.3333333333333,1.66666666666667,94.1575274177467,0,True,False,False,False
NC_047942,negative,39752,False,52.853,48,100.0,0.0,91.2331455021131,0,True,False,False,False
NC_047941,positive,41832,False,39.458,47,100.0,0.0,91.0570854847963,0,True,False,False,False
NC_047932,negative,156801,False,46.143,195,70.7692307692308,29.2307692307692,92.0255610614728,6,True,False,False,False
NC_047931,positive,78646,False,39.074,112,32.1428571428571,67.8571428571429,85.7907585891209,4,True,False,False,False
NC_047930,negative,41135,False,62.747,45,93.3333333333333,6.66666666666667,91.4549653579677,0,True,False,False,False
NC_047927,negative,38823,False,50.375,46,100.0,0.0,92.3189861679932,0,True,False,False,False
NC_047926,positive,139450,False,36.331,178,69.6629213483146,30.3370786516854,88.0473287916816,11,True,False,False,False
NC_047925,positive,79221,False,37.067,126,35.7142857142857,64.2857142857143,89.6075535527196,4,True,False,False,False
NC_047924,positive,141124,False,36.346,183,72.1311475409836,27.8688524590164,88.5044358153114,15,True,False,False,False
NC_047923,negative,39482,False,48.615,49,100.0,0.0,91.7202775948533,0,True,False,False,False
NC_047920,negative,44349,False,45.155,54,0.0,100.0,88.1756071162822,0,True,False,False,False
NC_047919,positive,17603,False,28.955,19,42.1052631578947,57.8947368421053,92.2683633471567,0,True,False,False,False
NC_047918,positive,81076,False,39.417,118,33.0508474576271,66.9491525423729,86.3572450540234,4,True,False,False,False
NC_047916,positive,58391,False,49.794,88,97.7272727272727,2.27272727272727,91.1047935469507,1,True,False,False,False
NC_047915,positive,54725,False,53.906,88,78.4090909090909,21.5909090909091,90.1671996345363,0,True,False,False,False
NC_047914,positive,54286,False,55.799,85,88.2352941176471,11.7647058823529,94.6431860884943,0,True,False,False,False
NC_047913,positive,36636,False,60.31,52,96.1538461538462,3.84615384615385,93.7356698329512,0,True,False,False,False
NC_047912,positive,34075,False,59.894,42,92.8571428571429,7.14285714285714,94.9640498899486,1,True,False,False,False
NC_047911,positive,48211,False,55.906,65,98.4615384615385,1.53846153846154,93.7192756839725,0,True,False,False,False
NC_047910,positive,49573,False,57.092,75,84.0,16.0,92.2457789522522,0,True,False,False,False
NC_047909,positive,61716,False,55.796,97,96.9072164948454,3.09278350515464,94.4179791302093,1,True,False,False,False
NC_047908,negative,40945,False,52.346,48,100.0,0.0,90.7070460373672,0,True,False,False,False
NC_047907,negative,50249,False,50.97,77,22.0779220779221,77.9220779220779,90.580907082728,0,True,False,False,False
NC_047903,negative,44603,False,43.531,53,100.0,0.0,91.5947357801045,0,True,False,False,False
NC_047901,negative,157281,False,46.422,203,67.9802955665025,32.0197044334975,91.1476910752093,6,True,False,False,False
NC_047900,negative,159631,False,46.768,205,70.2439024390244,29.7560975609756,92.115566525299,8,True,False,False,False
NC_047898,positive,50316,False,42.873,82,23.1707317073171,76.8292682926829,90.4543286429764,0,True,False,False,False
NC_047897,positive,78891,False,37.204,131,36.6412213740458,63.3587786259542,89.4816899266076,3,True,False,False,False
NC_047896,negative,41567,False,39.416,49,100.0,0.0,92.1067192724998,0,True,False,False,False
NC_047895,negative,39919,False,48.461,52,100.0,0.0,91.3324482076204,0,True,False,False,False
NC_047893,negative,45814,False,44.251,71,78.8732394366197,21.1267605633803,91.1904657964814,1,True,False,False,False
NC_047890,negative,42686,False,51.649,49,100.0,0.0,92.8899404957129,0,True,False,False,False
NC_047888,negative,40657,False,58.789,44,97.7272727272727,2.27272727272727,85.0554640037386,0,True,False,False,False
NC_047887,negative,106185,False,39.879,156,24.3589743589744,75.6410256410256,86.6271130573998,25,True,False,False,False
NC_047886,negative,40142,False,47.917,48,100.0,0.0,90.6830750834537,0,True,False,False,False
NC_047883,negative,41730,False,39.382,51,100.0,0.0,91.8188353702372,0,True,False,False,False
NC_047865,negative,42439,False,58.95,47,100.0,0.0,92.34901859139,0,True,False,False,False
NC_047863,negative,50552,False,45.585,75,24.0,76.0,87.4030701060294,0,True,False,False,False
NC_047862,negative,42518,False,59.307,60,30.0,70.0,93.6309327814102,0,True,False,False,False
NC_047861,negative,94005,False,65.464,121,41.3223140495868,58.6776859504132,91.8802191372799,3,True,False,False,False
NC_047860,negative,44638,False,54.653,53,100.0,0.0,92.5847932255029,0,True,False,False,False
NC_047848,negative,47647,False,44.328,76,14.4736842105263,85.5263157894737,90.8325812747917,1,True,False,False,False
NC_047847,negative,48262,False,44.499,74,16.2162162162162,83.7837837837838,90.7421988313787,2,True,False,False,False
NC_047846,negative,45175,False,54.734,49,100.0,0.0,90.1892639734366,0,True,False,False,False
NC_047845,negative,45423,False,54.829,52,100.0,0.0,92.1075226206988,0,True,False,False,False
NC_047844,negative,39216,False,50.418,45,100.0,0.0,90.2998776009792,0,True,False,False,False
NC_047843,negative,39064,False,50.819,46,100.0,0.0,90.4592463649396,0,True,False,False,False
NC_047842,negative,40048,False,52.892,47,100.0,0.0,90.7685777067519,0,True,False,False,False
NC_047841,negative,49090,False,50.959,77,77.9220779220779,22.0779220779221,89.0283153391729,0,True,False,False,False
NC_047840,negative,44597,False,62.435,53,100.0,0.0,93.3493284301635,0,True,False,False,False
NC_047839,negative,120295,False,35.844,186,50.0,50.0,86.8606342740762,3,True,False,False,False
NC_047823,negative,50339,False,42.647,85,76.4705882352941,23.5294117647059,90.7944138739347,0,True,False,False,False
NC_047820,negative,50800,False,46.085,79,75.9493670886076,24.0506329113924,91.8011811023622,1,True,False,False,False
MK972700,positive,31600,False,49.712,42,42.8571428571429,57.1428571428571,94.5284810126582,0,True,False,False,False
NC_042355,positive,43193,False,50.749,54,50.0,50.0,94.5083694117102,0,True,False,False,False
NC_042354,positive,44530,False,51.087,56,51.7857142857143,48.2142857142857,94.480125757916,0,True,False,False,False
NC_042127,positive,40836,False,34.514,62,61.2903225806452,38.7096774193548,92.1760211578019,0,True,False,False,False
NC_042126,positive,40789,False,34.838,64,37.5,62.5,91.3408026673858,0,True,False,False,False
NC_042125,positive,40934,False,34.841,63,63.4920634920635,36.5079365079365,90.6654614745688,0,True,False,False,False
NC_042124,negative,39964,False,39.233,44,100.0,0.0,84.8338504654189,0,True,False,False,False
NC_042122,negative,51894,False,48.241,84,72.6190476190476,27.3809523809524,91.2359810382703,0,True,False,False,False
NC_042121,negative,10584,False,41.903,19,89.4736842105263,10.5263157894737,91.8934240362812,0,True,False,False,False
NC_042120,negative,61437,False,48.821,89,44.9438202247191,55.0561797752809,93.1995377378453,1,True,False,False,False
NC_042101,positive,41489,False,34.691,67,35.8208955223881,64.1791044776119,91.1229482513437,0,True,False,False,False
NC_042100,negative,237722,True,43.36,212,88.2075471698113,11.7924528301887,95.4913722751786,0,True,False,False,False
NC_042097,positive,87609,False,38.802,120,26.6666666666667,73.3333333333333,87.2718556312708,24,True,False,False,False
NC_042096,positive,84916,False,38.861,119,25.2100840336134,74.7899159663866,88.6852889914739,27,True,False,False,False
NC_042095,negative,128602,False,40.24,188,73.936170212766,26.063829787234,88.6782476166778,23,True,False,False,False
NC_042094,negative,128241,False,39.927,191,70.6806282722513,29.3193717277487,89.8526992147597,25,True,False,False,False
NC_042093,negative,111103,False,44.958,154,22.7272727272727,77.2727272727273,86.6655265834406,25,True,False,False,False
NC_042090,negative,104329,False,38.369,136,70.5882352941177,29.4117647058824,87.2336550719359,22,True,False,False,False
NC_042084,negative,44829,False,50.601,77,63.6363636363636,36.3636363636364,93.4752057819715,0,True,False,False,False
NC_042083,negative,16523,False,50.475,33,90.9090909090909,9.09090909090909,87.7504085214549,0,True,False,False,False
NC_042082,negative,96542,False,58.369,148,100.0,0.0,95.4009653829421,5,True,False,False,False
NC_042078,negative,168112,False,35.321,267,15.3558052434457,84.6441947565543,95.0907728181213,10,True,False,False,False
NC_042077,negative,166002,False,35.451,265,15.8490566037736,84.1509433962264,94.8518692545873,11,True,False,False,False
NC_042076,negative,90092,False,39.032,138,70.2898550724638,29.7101449275362,90.2843759712294,26,True,False,False,False
NC_042075,negative,87575,False,39.065,133,72.1804511278195,27.8195488721804,91.1675706537254,25,True,False,False,False
NC_042067,negative,171911,False,38.741,306,14.7058823529412,85.2941176470588,94.9148105705859,10,True,False,False,False
NC_042044,positive,159323,False,36.947,255,16.4705882352941,83.5294117647059,94.4508953509537,11,True,False,False,False
NC_042043,negative,49579,False,48.034,83,20.4819277108434,79.5180722891566,89.6085036003146,0,True,False,False,False
NC_042041,negative,47760,False,48.955,71,61.9718309859155,38.0281690140845,92.0414572864322,0,True,False,False,False
NC_042039,negative,166283,False,35.509,265,15.8490566037736,84.1509433962264,95.1029269378108,11,True,False,False,False
NC_042025,positive,60030,False,43.385,89,56.1797752808989,43.8202247191011,91.3143428285857,0,True,False,False,False
NC_042023,positive,41598,False,34.747,69,65.2173913043478,34.7826086956522,91.3457377758546,0,True,False,False,False
NC_042022,positive,41081,False,34.724,63,38.0952380952381,61.9047619047619,90.5893235315596,0,True,False,False,False
NC_042021,positive,41712,False,34.554,68,35.2941176470588,64.7058823529412,90.6142117376295,0,True,False,False,False
NC_042019,negative,162422,False,41.127,237,16.4556962025316,83.5443037974684,92.530568519043,15,True,False,False,False
NC_042017,negative,87570,False,38.911,132,28.030303030303,71.969696969697,91.0208975676602,25,True,False,False,False
NC_042013,negative,490380,True,37.06,839,31.1084624553039,68.8915375446961,93.732411599168,30,True,False,False,False
NC_026608,negative,42093,False,56.368,55,80.0,20.0,91.5187798446297,0,True,False,False,False
NC_021331,negative,51821,False,44.023,82,70.7317073170732,29.2682926829268,85.3322012311611,0,True,False,False,False
ON624112,negative,45207,False,50.764,57,100.0,0.0,90.9682128873847,0,True,False,False,False
NC_041918,positive,47718,False,45.547,75,100.0,0.0,91.2171507607192,0,True,False,False,False
NC_054935,negative,168266,False,35.36,269,84.3866171003718,15.6133828996283,94.6560802538837,11,True,False,False,False
NC_055736,negative,71702,False,43.12,92,32.6086956521739,67.3913043478261,91.4911717943712,0,True,False,False,False
NC_055735,negative,70494,False,43.188,92,32.6086956521739,67.3913043478261,91.8588816069453,0,True,False,False,False
NC_055728,negative,172450,False,38.655,278,15.8273381294964,84.1726618705036,95.3418382139751,17,True,False,False,False
NC_055726,negative,171975,False,39.806,295,15.2542372881356,84.7457627118644,95.5353975868586,19,True,False,False,False
NC_055719,negative,174231,False,41.188,225,2.22222222222222,97.7777777777778,92.1621295865833,8,False,True,False,False
NC_055718,negative,186570,False,37.626,280,19.2857142857143,80.7142857142857,94.7456718657876,2,True,False,False,False
NC_055717,negative,74325,False,38.716,104,80.7692307692308,19.2307692307692,89.1987891019173,0,True,False,False,False
NC_055716,negative,167773,False,34.791,273,15.3846153846154,84.6153846153846,95.1583389460759,4,True,False,False,False
NC_055715,negative,167034,False,39.522,304,18.75,81.25,91.8453727983524,16,True,False,False,False
NC_055713,negative,193624,False,30.374,266,15.4135338345865,84.5864661654135,95.077573028137,10,True,False,False,False
NC_055712,negative,171598,False,41.451,259,46.7181467181467,53.2818532818533,92.1980442662502,1,True,False,False,False
NC_055710,negative,172230,False,39.919,205,98.0487804878049,1.95121951219512,95.6552284735528,5,True,False,False,False
NC_055709,negative,121442,False,37.355,194,12.8865979381443,87.1134020618557,94.9259728924095,3,True,False,False,False
NC_055706,positive,99517,False,42.309,66,68.1818181818182,31.8181818181818,97.4758081533808,1,True,False,False,False
NC_055061,positive,17253,False,54.472,28,71.4285714285714,28.5714285714286,88.697617805599,0,True,False,False,False
NC_055050,positive,30189,False,37.322,57,49.1228070175439,50.8771929824561,91.049720096724,1,True,False,False,False
NC_055042,positive,45985,False,33.111,66,87.8787878787879,12.1212121212121,92.945525714907,0,True,False,False,False
NC_055036,positive,42371,False,34.686,65,93.8461538461538,6.15384615384615,96.2851950626608,0,True,False,False,False
NC_054988,positive,28093,False,36.301,45,46.6666666666667,53.3333333333333,91.3786352472146,0,True,False,False,False
NC_054986,positive,26559,False,36.274,40,50.0,50.0,92.1156670055348,0,True,False,False,False
NC_054942,negative,164870,False,35.446,260,15.7692307692308,84.2307692307692,94.6479044095348,11,True,False,False,False
NC_054929,negative,166423,False,35.353,260,84.2307692307692,15.7692307692308,94.9069539666993,10,True,False,False,False
NC_054796,positive,47079,False,63.827,69,43.4782608695652,56.5217391304348,89.9318167335755,0,True,False,False,False
NC_054645,positive,47657,False,45.532,79,40.5063291139241,59.4936708860759,88.8222086996664,0,True,False,False,False
NC_054460,negative,46077,False,62.817,64,54.6875,45.3125,89.7649586561625,0,True,False,False,False
NC_052968,negative,60362,False,60.904,86,48.8372093023256,51.1627906976744,90.0815082336569,0,True,False,False,False
