id,staining,genome_length,jumbophage,gc_%,trna_count,cds_number,coding_capacity,positive_strand_%,negative_strand_%,molecule_type_ss-DNA,molecule_type_DNA,molecule_type_RNA,molecule_type_ss-RNA,topology_circular,topology_linear
NC_041913,negative,118537,0,39.518,22,157,99.22387102761164,27.39,72.61,False,True,False,False,False,True
NC_041912,negative,40551,0,57.833,0,48,190.10875194199897,97.92,2.08,False,True,False,False,True,False
NC_041911,negative,279845,1,53.404,1,289,90.14990441137058,14.88,85.12,False,True,False,False,True,False
NC_041905,negative,40493,0,39.464,0,51,93.15684192329539,0.0,100.0,False,True,False,False,False,True
NC_041900,negative,47405,0,48.955,0,75,95.36968674190486,62.67,37.33,False,True,False,False,False,True
NC_041899,negative,123490,0,45.372,21,149,96.55275730828407,22.15,77.85,False,True,False,False,False,True
NC_041896,negative,134073,0,26.196,0,169,94.18451142288157,13.61,86.39,False,True,False,False,False,True
NC_041884,negative,234900,1,30.764,4,326,94.26053639846744,16.26,83.74,False,True,False,False,False,True
NC_030937,negative,44262,0,59.882,0,53,89.05381591432831,0.0,100.0,False,True,False,False,False,True
NC_030928,negative,43851,0,59.83,0,53,91.91352534719847,0.0,100.0,False,True,False,False,False,True
NC_028693,positive,18655,0,33.203,0,27,94.36612168319486,62.96,37.04,False,True,False,False,False,True
NC_031068,negative,44268,0,51.936,0,57,97.27568446733532,100.0,0.0,False,True,False,False,False,True
NC_028671,positive,41098,0,34.058,0,67,89.90218502116892,85.07,14.93,False,True,False,False,False,True
NC_036595,negative,18222,0,55.801,1,33,92.448688398639,78.79,21.21,False,True,False,False,True,False
NC_034628,negative,35035,0,25.623,0,54,83.3851862423291,46.3,53.7,False,True,False,False,False,True
NC_034627,negative,35439,0,25.54,0,56,84.1699822229747,50.0,50.0,False,True,False,False,False,True
NC_034625,negative,32735,0,25.383,0,49,83.03039560103865,48.98,51.02,False,True,False,False,False,True
NC_034624,negative,33356,0,25.8,0,50,83.94891473797817,46.0,54.0,False,True,False,False,False,True
NC_034623,negative,36493,0,25.079,0,61,82.91453155399667,59.02,40.98,False,True,False,False,False,True
NC_034620,negative,36391,0,24.932,0,58,80.93759446016873,53.45,46.55,False,True,False,False,False,True
NC_034619,negative,34190,0,25.566,0,52,81.77829774787949,48.08,51.92,False,True,False,False,False,True
NC_034621,negative,36306,0,25.434,0,57,82.88712609486035,49.12,50.88,False,True,False,False,False,True
NC_031045,positive,157855,0,44.545,4,202,90.41905546229134,35.15,64.85,False,True,False,False,False,True
NC_031021,positive,41224,0,49.876,0,59,91.61410828643508,30.51,69.49,False,True,False,False,False,True
NC_031937,negative,38979,0,50.186,0,49,90.74116832140383,100.0,0.0,False,True,False,False,False,True
NC_031933,positive,114180,0,40.278,0,168,86.23226484498161,28.57,71.43,False,True,False,False,False,True
NC_031925,positive,43788,0,49.705,0,65,91.35379556042751,26.15,73.85,False,True,False,False,False,True
NC_031918,positive,45342,0,45.596,0,74,89.32115919015482,56.76,43.24,False,True,False,False,False,True
NC_031946,positive,40443,0,46.525,0,60,90.73510867146354,63.33,36.67,False,True,False,False,False,True
NC_031944,negative,185102,0,44.659,4,221,94.36256766539529,96.83,3.17,False,True,False,False,False,True
NC_031940,positive,77375,0,50.701,0,135,89.73441033925687,71.85,28.15,False,True,False,False,False,True
NC_031939,positive,89817,0,38.857,0,130,86.81986706302816,73.08,26.92,False,True,False,False,False,True
NC_031935,negative,186386,0,41.321,12,229,93.15291921067032,95.63,4.37,False,True,False,False,False,True
NC_031934,negative,168929,0,39.564,0,266,94.94817349300594,16.17,83.83,False,True,False,False,False,True
NC_031930,positive,59518,0,56.492,0,71,93.3028663597567,64.79,35.21,False,True,False,False,False,True
NC_031928,negative,169936,0,39.623,0,273,95.14817342999717,15.02,84.98,False,True,False,False,False,True
NC_031927,negative,216121,1,41.18,4,266,92.34919327598891,96.99,3.01,False,True,False,False,False,True
NC_031924,positive,47564,0,46.415,0,94,93.07038937011185,61.7,38.3,False,True,False,False,False,True
NC_031922,negative,174830,0,39.046,8,229,94.05937196133387,93.01,6.99,False,True,False,False,False,True
NC_031917,negative,39949,0,40.597,0,65,93.08868807729856,72.31,27.69,False,True,False,False,False,True
NC_031908,negative,42685,0,42.237,0,54,93.812814806138,27.78,72.22,False,True,False,False,False,True
NC_031906,negative,198190,0,41.558,10,240,95.36101720571169,95.83,4.17,False,True,False,False,False,True
NC_031903,negative,172345,0,39.913,5,214,96.74664191012215,96.26,3.74,False,True,False,False,False,True
NC_031902,positive,125114,0,40.218,21,188,86.1814025608645,31.38,68.62,False,True,False,False,False,True
NC_031900,negative,191983,0,38.583,8,238,95.71264122344166,95.8,4.2,False,True,False,False,False,True
NC_031246,negative,43267,0,53.979,0,53,95.46305498416807,100.0,0.0,False,True,False,False,False,True
NC_031241,positive,43293,0,34.661,0,69,95.5096666897651,89.86,10.14,False,True,False,False,False,True
NC_031129,positive,103445,0,48.578,0,122,89.90864710715839,46.72,53.28,False,True,False,False,True,False
NC_031128,positive,158081,0,44.608,5,209,92.57912083046034,34.93,65.07,False,True,False,False,True,False
NC_031117,negative,44885,0,37.948,0,83,93.07118190932383,84.34,15.66,False,True,False,False,False,True
NC_031115,negative,39616,0,46.913,0,55,91.6826534733441,100.0,0.0,False,True,False,False,False,True
NC_031114,negative,39235,0,48.658,0,45,89.65974257678093,100.0,0.0,False,True,False,False,False,True
NC_031108,positive,39640,0,64.955,0,58,97.64631685166498,89.66,10.34,False,True,False,False,False,True
NC_031103,negative,165772,0,35.537,0,268,94.76932171898753,15.3,84.7,False,True,False,False,False,True
NC_031101,positive,33697,0,41.229,0,35,79.19102590735079,5.71,94.29,False,True,False,False,False,True
NC_031098,negative,40749,0,40.256,1,70,95.91891825566272,81.43,18.57,False,True,False,False,False,True
NC_031096,negative,44570,0,48.889,0,56,94.78573031186896,100.0,0.0,False,True,False,False,False,True
NC_031092,negative,39158,0,50.723,0,53,99.07554011951581,100.0,0.0,False,True,False,False,False,True
NC_031090,negative,169621,0,37.576,2,269,94.01371292469682,84.76,15.24,False,True,False,False,False,True
NC_031087,negative,168272,0,39.321,17,275,95.23866121517544,16.36,83.64,False,True,False,False,False,True
NC_031082,negative,87662,0,39.018,19,133,91.38623348771418,70.68,29.32,False,True,False,False,False,True
NC_031077,negative,41760,0,50.587,0,56,189.67911877394636,67.86,32.14,False,True,False,False,False,True
NC_031076,positive,38071,0,64.842,0,56,94.94365790234036,89.29,10.71,False,True,False,False,False,True
NC_031075,positive,22240,0,35.863,0,38,93.27787769784173,47.37,52.63,False,True,False,False,False,True
NC_031071,positive,22825,0,35.706,0,40,91.71522453450164,45.0,55.0,False,True,False,False,False,True
NC_031066,negative,39434,0,50.953,0,53,98.38210681138105,100.0,0.0,False,True,False,False,False,True
NC_031064,positive,36202,0,35.951,0,52,94.19645323462792,92.31,7.69,False,True,False,False,False,True
NC_031059,negative,38773,0,67.454,0,59,94.64317953214866,89.83,10.17,False,True,False,False,False,True
NC_031050,negative,51802,0,49.817,1,87,93.00413111462878,74.71,25.29,False,True,False,False,False,True
NC_031048,negative,41918,0,54.108,1,61,188.61825468772363,85.25,14.75,False,True,False,False,False,True
NC_031044,positive,22179,0,35.732,0,37,92.65521439199243,48.65,51.35,False,True,False,False,False,True
NC_031040,positive,31987,0,35.618,0,51,93.4879794916685,94.12,5.88,False,True,False,False,False,True
NC_031036,positive,35068,0,45.326,0,51,97.6987567012661,88.24,11.76,False,True,False,False,False,True
NC_031026,positive,49167,0,42.889,0,83,90.92073952041004,74.7,25.3,False,True,False,False,False,True
NC_031025,negative,42201,0,54.198,0,51,96.1612284069098,100.0,0.0,False,True,False,False,False,True
NC_031022,negative,108050,0,38.738,5,139,82.49606663581676,32.37,67.63,False,True,False,False,False,True
NC_031018,negative,39274,0,52.587,0,49,95.5466720985894,100.0,0.0,False,True,False,False,False,True
NC_031017,positive,32409,0,35.132,0,48,90.23419420531333,91.67,8.33,False,True,False,False,False,True
NC_031013,positive,34396,0,35.821,0,51,94.24933131759506,92.16,7.84,False,True,False,False,False,True
NC_031011,negative,168993,0,35.382,8,269,93.18374133839863,17.1,82.9,False,True,False,False,False,True
NC_031009,positive,22884,0,35.431,0,40,91.74095437860514,45.0,55.0,False,True,False,False,False,True
NC_031008,positive,17861,0,29.354,0,20,90.19651755220872,40.0,60.0,False,True,False,False,False,True
NC_031051,positive,37933,0,34.54,0,60,91.38481005984235,36.67,63.33,False,True,False,False,False,True
NC_031085,negative,166634,0,35.372,11,265,94.21906693711968,15.85,84.15,False,True,False,False,False,True
NC_031020,negative,163201,0,34.747,10,271,97.11643923750466,14.39,85.61,False,True,False,False,False,True
NC_031016,positive,40273,0,35.401,0,66,86.85719961264371,12.12,87.88,False,True,False,False,False,True
NC_031002,positive,21697,0,35.793,0,38,93.12347329123843,47.37,52.63,False,True,False,False,False,True
NC_031123,negative,39444,0,50.641,0,49,95.61657032755299,100.0,0.0,False,True,False,False,False,True
NC_031125,positive,41005,0,44.931,1,60,91.89367150347519,76.67,23.33,False,True,False,False,False,True
NC_030953,negative,170650,0,35.238,8,269,93.2024611778494,15.61,84.39,False,True,False,False,False,True
NC_030919,positive,42418,0,46.813,0,64,89.94059125842803,67.19,32.81,False,True,False,False,False,True
NC_030884,negative,32995,0,25.519,0,45,80.1212304894681,51.11,48.89,False,True,False,False,False,True
NC_029016,positive,58000,0,40.019,0,95,86.50862068965517,85.26,14.74,False,True,False,False,True,False
NC_028990,positive,38886,0,34.974,0,57,87.77966363215553,40.35,59.65,False,True,False,False,True,False
NC_028694,positive,29407,0,53.851,0,45,90.08059305607509,55.56,44.44,False,True,False,False,False,True
NC_028670,negative,44203,0,53.967,0,55,96.12695970861706,100.0,0.0,False,True,False,False,False,True
OP870147,negative,169298,0,37.645,0,271,94.1192453543456,15.5,84.5,False,True,False,False,False,True
OP819285,negative,41929,0,54.719,0,45,93.17894536001336,97.78,2.22,False,True,False,False,False,True
OP819284,negative,145686,0,46.729,0,238,90.08483999835262,60.92,39.08,False,True,False,False,False,True
OP869855,positive,41353,0,44.623,0,59,88.0927623147051,15.25,84.75,False,True,False,False,True,False
OP869854,positive,16938,0,43.311,0,35,87.12362734679418,25.71,74.29,False,True,False,False,False,True
OP869853,positive,11745,0,42.997,0,17,86.74329501915709,64.71,35.29,False,True,False,False,False,True
OP869852,positive,13665,0,46.118,0,16,91.48188803512623,100.0,0.0,False,True,False,False,False,True
OP869851,positive,15427,0,44.584,0,17,93.88734037726064,100.0,0.0,False,True,False,False,False,True
OP869850,positive,42770,0,44.702,0,67,89.34065934065934,16.42,83.58,False,True,False,False,True,False
OP869849,positive,40600,0,44.308,0,59,94.16009852216749,6.78,93.22,False,True,False,False,True,False
OP869848,positive,41598,0,45.182,0,54,92.06692629453339,94.44,5.56,False,True,False,False,True,False
OP869847,positive,14518,0,43.635,0,22,83.5652293704367,72.73,27.27,False,True,False,False,True,False
OP869845,positive,37715,0,45.101,0,58,89.66193822086703,81.03,18.97,False,True,False,False,True,False
OP869844,positive,22598,0,44.261,0,26,96.16780246039473,0.0,100.0,False,True,False,False,False,True
OP869843,positive,16074,0,43.549,0,30,89.94027622247107,20.0,80.0,False,True,False,False,False,True
OQ031076,negative,39499,0,53.166,0,45,90.00987366768778,100.0,0.0,False,True,False,False,False,True
OQ031075,negative,137988,0,39.085,0,228,83.5268284198626,23.25,76.75,False,True,False,False,False,True
OQ031074,negative,39004,0,52.561,0,47,91.62906368577582,100.0,0.0,False,True,False,False,False,True
OQ031073,negative,39356,0,53.016,0,47,91.76999695090964,100.0,0.0,False,True,False,False,False,True
OQ031072,negative,88550,0,38.987,0,131,86.53754940711462,73.28,26.72,False,True,False,False,False,True
OQ106917,negative,129221,0,40.013,22,193,89.81434906091114,75.13,24.87,False,True,False,False,False,True
OQ116603,negative,46054,0,38.893,0,61,90.70221913406002,0.0,100.0,False,True,False,False,False,True
OQ108497,negative,145528,0,37.486,15,247,90.6863284041559,46.96,53.04,False,True,False,False,False,True
OQ094961,positive,137283,0,30.009,0,191,87.79528419396429,22.51,77.49,False,True,False,False,False,True
OQ053201,negative,63038,0,66.544,1,78,94.55249214759351,85.9,14.1,False,True,False,False,False,True
OP966774,positive,60715,0,56.627,0,74,93.4167833319608,32.43,67.57,False,True,False,False,False,True
OP991903,negative,218506,1,52.356,0,249,94.63676054662115,85.14,14.86,False,True,False,False,True,False
OP978391,negative,167750,0,35.384,11,261,93.94098360655738,16.09,83.91,False,True,False,False,False,True
OP978318,positive,157610,0,44.679,0,197,88.80083751031026,34.52,65.48,False,True,False,False,False,True
OP961718,positive,141584,0,30.17,4,224,90.953073793649,73.66,26.34,False,True,False,False,False,True
NC_027335,positive,145519,0,35.908,5,220,87.43188174740068,33.18,66.82,False,True,False,False,False,True
NC_019516,negative,172474,0,40.942,10,212,95.58020339297516,78.3,21.7,False,True,False,False,False,True
NC_062738,negative,37129,0,41.183,0,39,84.86358372161922,79.49,20.51,False,True,False,False,False,True
NC_020414,positive,43984,0,47.449,0,61,95.70070934885413,100.0,0.0,False,True,False,False,False,True
NC_055708,negative,170020,0,37.649,2,209,81.84390071756263,82.78,17.22,False,True,False,False,False,True
NC_055041,positive,46048,0,33.191,0,57,89.43710910354413,94.74,5.26,False,True,False,False,False,True
NC_055037,positive,38709,0,38.678,0,65,90.44924952853341,90.77,9.23,False,True,False,False,False,True
NC_054978,positive,41882,0,33.676,0,53,82.84704646387469,86.79,13.21,False,True,False,False,False,True
NC_054977,positive,43305,0,34.446,0,63,93.01697263595428,95.24,4.76,False,True,False,False,False,True
NC_054954,negative,58487,0,61.898,0,94,201.5695795646896,88.3,11.7,False,True,False,False,True,False
NC_054952,negative,159514,0,54.142,20,202,80.10268691149366,78.22,21.78,False,True,False,False,True,False
NC_054905,negative,167318,0,35.548,10,237,90.27540372225343,17.3,82.7,False,True,False,False,False,True
NC_054903,negative,166514,0,35.451,10,237,88.97810394321198,16.88,83.12,False,True,False,False,False,True
NC_054902,negative,168496,0,35.533,11,235,88.48281264837148,17.45,82.55,False,True,False,False,False,True
NC_052650,negative,58072,0,63.678,0,96,225.46149607383938,89.58,10.42,False,True,False,False,True,False
NC_049943,negative,57248,0,51.053,3,75,85.23267188373393,66.67,33.33,False,True,False,False,True,False
NC_049942,negative,57198,0,50.719,3,79,87.99258715339697,63.29,36.71,False,True,False,False,False,True
NC_049809,positive,31106,0,36.215,0,50,89.70938082685012,96.0,4.0,False,True,False,False,False,True
NC_049370,positive,30116,0,35.197,0,53,89.18515075043166,47.17,52.83,False,True,False,False,False,True
NC_049369,positive,28983,0,35.138,0,49,91.55366939240245,51.02,48.98,False,True,False,False,False,True
NC_049368,positive,32682,0,34.79,0,59,94.99112661403831,47.46,52.54,False,True,False,False,False,True
NC_049367,positive,32270,0,34.62,0,60,93.66594360086768,45.0,55.0,False,True,False,False,False,True
NC_049366,positive,32150,0,34.936,0,55,91.13841368584758,50.91,49.09,False,True,False,False,False,True
NC_049365,positive,31901,0,34.579,0,58,89.52697407604776,48.28,51.72,False,True,False,False,False,True
NC_049364,positive,31495,0,34.821,0,58,93.95142086045404,50.0,50.0,False,True,False,False,False,True
NC_049363,positive,31379,0,34.622,0,52,90.06979189904077,50.0,50.0,False,True,False,False,False,True
NC_049362,positive,31375,0,34.489,0,59,94.79840637450198,47.46,52.54,False,True,False,False,False,True
NC_049361,positive,31181,0,34.55,0,59,94.36836535069433,47.46,52.54,False,True,False,False,False,True
NC_049360,positive,31033,0,34.921,0,54,92.18896013920666,51.85,48.15,False,True,False,False,False,True
NC_049359,positive,30882,0,35.007,0,55,93.74716663428534,49.09,50.91,False,True,False,False,False,True
NC_049358,positive,30811,0,34.669,0,57,90.90259972087891,47.37,52.63,False,True,False,False,False,True
NC_049357,positive,29026,0,34.745,0,53,95.6590642871908,49.06,50.94,False,True,False,False,False,True
NC_049356,positive,28811,0,34.792,0,52,90.17389191628197,48.08,51.92,False,True,False,False,False,True
NC_049355,positive,28785,0,35.459,0,53,95.31353135313532,49.06,50.94,False,True,False,False,False,True
NC_049354,positive,28349,0,35.246,0,49,92.35246393170836,51.02,48.98,False,True,False,False,False,True
NC_049353,positive,30862,0,34.901,0,55,90.81070572224742,50.91,49.09,False,True,False,False,False,True
NC_049352,positive,31945,0,34.575,0,55,89.55392080137736,47.27,52.73,False,True,False,False,False,True
NC_049351,positive,30692,0,34.836,0,51,93.47386941222469,49.02,50.98,False,True,False,False,False,True
NC_049350,negative,68964,0,34.593,1,79,80.09251203526478,79.75,20.25,False,True,False,False,False,True
NC_048630,negative,45035,0,44.665,0,57,92.54135672254912,64.91,35.09,False,True,False,False,False,True
NC_048785,positive,114855,0,39.987,0,147,76.86300117539506,25.85,74.15,False,True,False,False,False,True
NC_048635,positive,40448,0,33.747,0,64,92.45945411392405,89.06,10.94,False,True,False,False,False,True
NC_048634,positive,41960,0,32.96,0,68,87.61916110581505,85.29,14.71,False,True,False,False,False,True
NC_047757,negative,85138,0,61.403,0,120,197.6637929009373,35.83,64.17,False,True,False,False,False,True
NC_048015,negative,176495,0,37.657,3,235,96.73305192781665,95.74,4.26,False,True,False,False,False,True
NC_047940,negative,38288,0,48.221,0,52,91.84600919348098,94.23,5.77,False,True,False,False,False,True
NC_047939,negative,37714,0,48.348,0,46,87.246115500875,95.65,4.35,False,True,False,False,False,True
NC_047867,negative,38202,0,49.906,0,55,109.14350034029631,100.0,0.0,False,True,False,False,False,True
NC_047855,positive,17602,0,29.588,0,20,94.72787183274627,45.0,55.0,False,True,False,False,False,True
NC_047854,negative,28765,0,55.168,0,43,112.38658091430558,30.23,69.77,False,True,False,False,False,True
NC_047759,negative,43872,0,52.186,0,51,90.7754376367615,100.0,0.0,False,True,False,False,False,True
NC_047758,negative,44539,0,51.063,0,55,94.31958508273648,100.0,0.0,False,True,False,False,False,True
NC_047756,negative,80297,0,65.751,0,122,196.75703949089007,50.82,49.18,False,True,False,False,False,True
NC_047755,negative,39210,0,50.699,0,46,88.94159653149707,100.0,0.0,False,True,False,False,False,True
NC_047754,negative,103737,0,38.933,8,151,88.56242227941814,68.21,31.79,False,True,False,False,False,True
NC_047753,positive,35203,0,51.936,0,49,95.54299349487259,77.55,22.45,False,True,False,False,True,False
NC_047752,negative,36499,0,64.407,0,51,95.89577796651963,86.27,13.73,False,True,False,False,False,True
NC_047751,negative,38731,0,62.751,0,54,90.81097828612738,98.15,1.85,False,True,False,False,True,False
NC_047750,negative,36745,0,41.984,0,52,93.46849911552593,82.69,17.31,False,True,False,False,False,True
NC_047749,negative,108418,0,39.678,14,133,89.42611005552583,30.08,69.92,False,True,False,False,False,True
NC_047748,negative,43865,0,53.852,0,59,94.63581443063947,100.0,0.0,False,True,False,False,False,True
NC_047746,negative,44541,0,44.157,0,44,88.60375833501718,100.0,0.0,False,True,False,False,False,True
NC_047742,negative,41510,0,59.157,0,60,92.84750662490966,26.67,73.33,False,True,False,False,True,False
NC_047741,negative,46318,0,48.307,0,49,91.77209724081351,0.0,100.0,False,True,False,False,True,False
NC_047740,negative,43017,0,44.19,0,65,88.6184531696771,20.0,80.0,False,True,False,False,False,True
NC_047739,positive,80617,0,36.962,6,127,87.16771896746344,61.42,38.58,False,True,False,False,False,True
NC_047737,negative,42542,0,43.47,0,34,92.1489351699497,97.06,2.94,False,True,False,False,True,False
NC_047734,negative,197450,0,40.367,5,235,96.7581666244619,91.49,8.51,False,True,False,False,False,True
NC_047733,negative,171216,0,40.63,8,224,96.41447061022335,97.32,2.68,False,True,False,False,False,True
NC_019524,negative,60496,0,51.084,0,80,94.6657630256546,68.75,31.25,False,True,False,False,False,True
NC_042345,negative,55601,0,63.04,0,72,194.56304742720454,38.89,61.11,False,True,False,False,True,False
NC_042344,negative,56147,0,62.361,0,77,190.74215897554635,37.66,62.34,False,True,False,False,True,False
NC_042136,negative,236053,1,43.256,0,209,94.07887211770239,88.52,11.48,False,True,False,False,True,False
NC_042134,positive,41257,0,34.452,0,68,90.1107690816104,36.76,63.24,False,True,False,False,False,True
NC_042130,negative,167298,0,35.505,11,266,95.17687001637796,15.79,84.21,False,True,False,False,False,True
NC_042129,negative,167467,0,35.402,10,272,94.68014593919996,84.93,15.07,False,True,False,False,False,True
NC_042128,negative,115154,0,49.35,3,124,91.88391197874151,53.23,46.77,False,True,False,False,True,False
NC_042065,positive,41873,0,50.269,0,57,90.73866214505767,68.42,31.58,False,True,False,False,False,True
NC_042057,negative,42925,0,51.884,0,57,100.04193360512521,64.91,35.09,False,True,False,False,False,True
NC_042048,positive,138036,0,35.87,13,187,87.15480019705004,78.07,21.93,False,True,False,False,False,True
NC_042046,negative,47319,0,44.238,0,75,91.4664299752742,80.0,20.0,False,True,False,False,False,True
NC_042029,negative,43015,0,55.432,0,54,90.3522027199814,66.67,33.33,False,True,False,False,False,True
NC_042028,negative,45159,0,37.689,0,85,90.7925330498904,16.47,83.53,False,True,False,False,True,False
NC_042024,positive,27595,0,34.727,0,49,91.31001993114694,48.98,51.02,False,True,False,False,False,True
NC_041981,negative,176055,0,41.779,1,277,193.91894578398797,46.57,53.43,False,True,False,False,False,True
NC_041980,negative,175814,0,42.005,0,278,95.68691913044466,46.4,53.6,False,True,False,False,True,False
NC_041979,negative,88531,0,38.849,26,132,89.42969129457478,28.03,71.97,False,True,False,False,False,True
NC_041978,negative,84694,0,43.387,0,117,88.8232932675278,78.63,21.37,False,True,False,False,False,True
NC_041977,negative,89596,0,38.808,25,138,183.05951158533864,72.46,27.54,False,True,False,False,False,True
NC_041962,positive,76268,0,59.29,1,109,93.80736350763098,31.19,68.81,False,True,False,False,False,True
NC_041960,positive,58619,0,39.996,0,44,63.70630682884389,11.36,88.64,False,True,False,False,False,True
NC_041959,positive,57081,0,40.045,0,98,87.07626005150576,14.29,85.71,False,True,False,False,False,True
NC_041958,negative,63513,0,57.295,0,76,85.93358839922536,56.58,43.42,False,True,False,False,True,False
NC_041957,positive,29511,0,53.99,0,46,90.43407542950087,52.17,47.83,False,True,False,False,False,True
NC_041956,positive,29422,0,53.912,0,46,90.14682890354156,52.17,47.83,False,True,False,False,False,True
NC_041955,positive,29491,0,54.383,0,46,90.81075582381065,52.17,47.83,False,True,False,False,False,True
NC_041935,negative,61292,0,49.741,3,90,89.45049924949421,66.67,33.33,False,True,False,False,False,True
NC_041923,positive,87709,0,39.035,22,128,180.10352415373566,28.12,71.88,False,True,False,False,False,True
NC_041910,negative,76350,0,48.777,0,102,89.8860510805501,100.0,0.0,False,True,False,False,False,True
NC_041906,negative,70912,0,42.887,0,80,92.35813402527076,76.25,23.75,False,True,False,False,False,True
NC_041898,negative,42765,0,51.348,0,48,186.95428504618263,72.92,27.08,False,True,False,False,True,False
NC_041897,negative,42292,0,51.272,0,51,188.03319776789937,70.59,29.41,False,True,False,False,True,False
NC_041871,negative,135391,0,43.614,7,212,184.46647118346124,42.92,57.08,False,True,False,False,False,True
NC_041869,negative,135400,0,43.592,5,219,89.63220088626292,57.53,42.47,False,True,False,False,True,False
NC_041868,negative,38261,0,64.674,0,56,91.70696008990879,78.57,21.43,False,True,False,False,False,True
NC_041866,negative,47575,0,39.832,0,80,90.52653704676827,81.25,18.75,False,True,False,False,False,True
NC_041864,negative,160570,0,37.628,0,251,94.63722986859314,16.33,83.67,False,True,False,False,False,True
NC_041863,negative,168733,0,37.627,2,270,94.16296752858065,84.81,15.19,False,True,False,False,False,True
NC_041862,positive,135279,0,35.926,17,188,90.09528456005737,76.6,23.4,False,True,False,False,False,True
NC_041861,positive,55073,0,40.003,0,88,86.34539611061682,82.95,17.05,False,True,False,False,False,True
NC_041857,negative,43665,0,37.497,0,82,93.34249398832016,14.63,85.37,False,True,False,False,True,False
NC_041854,negative,43827,0,49.182,1,52,94.60606475460332,100.0,0.0,False,True,False,False,False,True
NC_009552,positive,40863,0,44.786,0,62,94.47911313413113,88.71,11.29,False,True,False,False,False,True
NC_028808,negative,90743,0,39.761,19,138,90.45105407579648,73.91,26.09,False,True,False,False,False,True
NC_004775,positive,39672,0,50.834,0,51,96.35511191772534,70.59,29.41,False,True,False,False,False,True
NC_028935,negative,88698,0,40.158,19,132,89.64012717310425,71.21,28.79,False,True,False,False,False,True
NC_028987,negative,41243,0,39.313,0,54,94.70698057852242,100.0,0.0,False,True,False,False,True,False
NC_028908,negative,72825,0,55.202,0,80,94.70786131136285,72.5,27.5,False,True,False,False,False,True
NC_027348,negative,73882,0,59.889,0,88,96.14114398635662,75.0,25.0,False,True,False,False,False,True
NC_029003,positive,29733,0,53.012,0,43,92.18040560992836,83.72,16.28,False,True,False,False,True,False
NC_028696,positive,41338,0,47.828,0,55,89.09961778508878,69.09,30.91,False,True,False,False,True,False
NC_029015,positive,33509,0,53.365,0,47,93.15407800889314,70.21,29.79,False,True,False,False,True,False
NC_028701,positive,33509,0,53.365,0,47,93.15407800889314,70.21,29.79,False,True,False,False,True,False
NC_031936,positive,49979,0,63.547,0,82,95.67218231657296,98.78,1.22,False,True,False,False,False,True
NC_031909,negative,134927,0,26.16,3,171,94.81200945696561,14.04,85.96,False,True,False,False,False,True
NC_031264,negative,46877,0,53.32,0,86,91.04891524628283,54.65,45.35,False,True,False,False,False,True
NC_031242,negative,174307,0,40.281,8,227,96.62836260161669,96.04,3.96,False,True,False,False,False,True
NC_031280,negative,104906,0,37.774,13,165,92.68487979715174,83.64,16.36,False,True,False,False,False,True
NC_031260,positive,41170,0,34.596,0,59,86.85936361428224,64.41,35.59,False,True,False,False,False,True
NC_031235,negative,194437,0,39.868,10,230,93.2574561426066,92.17,7.83,False,True,False,False,False,True
NC_023594,negative,54791,0,49.417,0,67,91.11532915989852,2.99,97.01,False,True,False,False,True,False
NC_031095,negative,168758,0,39.394,0,203,82.85118335130778,87.19,12.81,False,True,False,False,False,True
NC_031053,negative,50934,0,50.73,0,78,90.1990811638591,62.82,37.18,False,True,False,False,False,True
NC_031047,negative,170770,0,35.302,0,269,93.42038999824325,87.73,12.27,False,True,False,False,False,True
NC_031042,positive,111325,0,38.838,0,148,87.89400404221873,32.43,67.57,False,True,False,False,False,True
NC_031019,positive,41809,0,47.241,0,80,97.61295414862829,61.25,38.75,False,True,False,False,False,True
NC_031086,negative,40570,0,39.468,0,45,92.119792950456,100.0,0.0,False,True,False,False,False,True
NC_030935,positive,17727,0,66.509,0,26,91.43679133525131,84.62,15.38,False,True,False,False,False,True
NC_030933,positive,133798,0,29.974,0,177,87.51251887173201,77.4,22.6,False,True,False,False,False,True
NC_030916,positive,56212,0,70.542,0,84,94.20586351668683,90.48,9.52,False,True,False,False,False,True
NC_030906,positive,83324,0,58.179,0,115,93.95132254812539,94.78,5.22,False,True,False,False,False,True
NC_030939,positive,45537,0,66.368,1,68,92.54232821661506,89.71,10.29,False,True,False,False,False,True
NC_030932,positive,43505,0,62.832,0,71,93.08585220089644,94.37,5.63,False,True,False,False,False,True
NC_030907,positive,17562,0,66.353,0,28,94.56781687734882,85.71,14.29,False,True,False,False,False,True
NC_030902,positive,41207,0,65.712,0,68,95.75557550901546,86.76,13.24,False,True,False,False,False,True
NC_030848,negative,31314,0,68.126,0,47,92.26863383789998,51.06,48.94,False,True,False,False,False,True
NC_028695,negative,40491,0,51.972,0,62,90.50900200044454,70.97,29.03,False,True,False,False,False,True
NC_019919,negative,122696,0,40.512,19,166,98.07328682271631,28.92,71.08,False,True,False,False,False,True
NC_029106,negative,62220,0,60.111,0,86,93.21600771456123,67.44,32.56,False,True,False,False,True,False
NC_029120,negative,60875,0,49.117,0,76,88.94784394250513,71.05,28.95,False,True,False,False,True,False
NC_029119,positive,127726,0,30.534,0,156,88.3892081486933,25.64,74.36,False,True,False,False,True,False
NC_029118,positive,24847,0,37.872,0,48,89.18984183201192,35.42,64.58,False,True,False,False,True,False
